# Cuneiform signs as encoded. No language keywords in this tree. [UNRESOLVED] language layer.
# Copyright (C) 1993-2026 Abhishek Choudhary. GPL-3.0-or-later.
# Direct Unicode inventory. NOT a Devanagari hub. NOT invented keywords.
cp	ch	unicode_name
U+12097	𒂗	CUNEIFORM SIGN EN
U+12098	𒂘	CUNEIFORM SIGN EN TIMES GAN2
U+12099	𒂙	CUNEIFORM SIGN EN TIMES GAN2 TENU
U+1209A	𒂚	CUNEIFORM SIGN EN TIMES ME
U+1209B	𒂛	CUNEIFORM SIGN EN CROSSING EN
U+1209C	𒂜	CUNEIFORM SIGN EN OPPOSING EN
U+1209D	𒂝	CUNEIFORM SIGN EN SQUARED
U+1209E	𒂞	CUNEIFORM SIGN EREN
U+1209F	𒂟	CUNEIFORM SIGN ERIN2
U+120A0	𒂠	CUNEIFORM SIGN ESH2
U+120A1	𒂡	CUNEIFORM SIGN EZEN
U+120A2	𒂢	CUNEIFORM SIGN EZEN TIMES A
U+120A3	𒂣	CUNEIFORM SIGN EZEN TIMES A PLUS LAL
U+120A4	𒂤	CUNEIFORM SIGN EZEN TIMES A PLUS LAL TIMES LAL
U+120A5	𒂥	CUNEIFORM SIGN EZEN TIMES AN
U+120A6	𒂦	CUNEIFORM SIGN EZEN TIMES BAD
U+120A7	𒂧	CUNEIFORM SIGN EZEN TIMES DUN3 GUNU
U+120A8	𒂨	CUNEIFORM SIGN EZEN TIMES DUN3 GUNU GUNU
U+120A9	𒂩	CUNEIFORM SIGN EZEN TIMES HA
U+120AA	𒂪	CUNEIFORM SIGN EZEN TIMES HA GUNU
U+120AB	𒂫	CUNEIFORM SIGN EZEN TIMES IGI GUNU
U+120AC	𒂬	CUNEIFORM SIGN EZEN TIMES KASKAL
U+120AD	𒂭	CUNEIFORM SIGN EZEN TIMES KASKAL SQUARED
U+120AE	𒂮	CUNEIFORM SIGN EZEN TIMES KU3
U+120AF	𒂯	CUNEIFORM SIGN EZEN TIMES LA
U+120B0	𒂰	CUNEIFORM SIGN EZEN TIMES LAL TIMES LAL
U+120B1	𒂱	CUNEIFORM SIGN EZEN TIMES LI
U+120B2	𒂲	CUNEIFORM SIGN EZEN TIMES LU
U+120B3	𒂳	CUNEIFORM SIGN EZEN TIMES U2
U+120B4	𒂴	CUNEIFORM SIGN EZEN TIMES UD
U+120B5	𒂵	CUNEIFORM SIGN GA
U+120B6	𒂶	CUNEIFORM SIGN GA GUNU
U+120B7	𒂷	CUNEIFORM SIGN GA2
U+120B8	𒂸	CUNEIFORM SIGN GA2 TIMES A PLUS DA PLUS HA
U+120B9	𒂹	CUNEIFORM SIGN GA2 TIMES A PLUS HA
U+120BA	𒂺	CUNEIFORM SIGN GA2 TIMES A PLUS IGI
U+120BB	𒂻	CUNEIFORM SIGN GA2 TIMES AB2 TENU PLUS TAB
U+120BC	𒂼	CUNEIFORM SIGN GA2 TIMES AN
U+120BD	𒂽	CUNEIFORM SIGN GA2 TIMES ASH
U+120BE	𒂾	CUNEIFORM SIGN GA2 TIMES ASH2 PLUS GAL
U+120BF	𒂿	CUNEIFORM SIGN GA2 TIMES BAD
U+120C0	𒃀	CUNEIFORM SIGN GA2 TIMES BAR PLUS RA
U+120C1	𒃁	CUNEIFORM SIGN GA2 TIMES BUR
U+120C2	𒃂	CUNEIFORM SIGN GA2 TIMES BUR PLUS RA
U+120C3	𒃃	CUNEIFORM SIGN GA2 TIMES DA
U+120C4	𒃄	CUNEIFORM SIGN GA2 TIMES DI
U+120C5	𒃅	CUNEIFORM SIGN GA2 TIMES DIM TIMES SHE
U+120C6	𒃆	CUNEIFORM SIGN GA2 TIMES DUB
U+120C7	𒃇	CUNEIFORM SIGN GA2 TIMES EL
U+120C8	𒃈	CUNEIFORM SIGN GA2 TIMES EL PLUS LA
U+120C9	𒃉	CUNEIFORM SIGN GA2 TIMES EN
U+120CA	𒃊	CUNEIFORM SIGN GA2 TIMES EN TIMES GAN2 TENU
U+120CB	𒃋	CUNEIFORM SIGN GA2 TIMES GAN2 TENU
U+120CC	𒃌	CUNEIFORM SIGN GA2 TIMES GAR
U+120CD	𒃍	CUNEIFORM SIGN GA2 TIMES GI
U+120CE	𒃎	CUNEIFORM SIGN GA2 TIMES GI4
U+120CF	𒃏	CUNEIFORM SIGN GA2 TIMES GI4 PLUS A
U+120D0	𒃐	CUNEIFORM SIGN GA2 TIMES GIR2 PLUS SU
U+120D1	𒃑	CUNEIFORM SIGN GA2 TIMES HA PLUS LU PLUS ESH2
U+120D2	𒃒	CUNEIFORM SIGN GA2 TIMES HAL
U+120D3	𒃓	CUNEIFORM SIGN GA2 TIMES HAL PLUS LA
U+120D4	𒃔	CUNEIFORM SIGN GA2 TIMES HI PLUS LI
U+120D5	𒃕	CUNEIFORM SIGN GA2 TIMES HUB2
U+120D6	𒃖	CUNEIFORM SIGN GA2 TIMES IGI GUNU
U+120D7	𒃗	CUNEIFORM SIGN GA2 TIMES ISH PLUS HU PLUS ASH
U+120D8	𒃘	CUNEIFORM SIGN GA2 TIMES KAK
U+120D9	𒃙	CUNEIFORM SIGN GA2 TIMES KASKAL
U+120DA	𒃚	CUNEIFORM SIGN GA2 TIMES KID
U+120DB	𒃛	CUNEIFORM SIGN GA2 TIMES KID PLUS LAL
U+120DC	𒃜	CUNEIFORM SIGN GA2 TIMES KU3 PLUS AN
U+120DD	𒃝	CUNEIFORM SIGN GA2 TIMES LA
U+120DE	𒃞	CUNEIFORM SIGN GA2 TIMES ME PLUS EN
U+120DF	𒃟	CUNEIFORM SIGN GA2 TIMES MI
U+120E0	𒃠	CUNEIFORM SIGN GA2 TIMES NUN
U+120E1	𒃡	CUNEIFORM SIGN GA2 TIMES NUN OVER NUN
U+120E2	𒃢	CUNEIFORM SIGN GA2 TIMES PA
U+120E3	𒃣	CUNEIFORM SIGN GA2 TIMES SAL
U+120E4	𒃤	CUNEIFORM SIGN GA2 TIMES SAR
U+120E5	𒃥	CUNEIFORM SIGN GA2 TIMES SHE
U+120E6	𒃦	CUNEIFORM SIGN GA2 TIMES SHE PLUS TUR
U+120E7	𒃧	CUNEIFORM SIGN GA2 TIMES SHID
U+120E8	𒃨	CUNEIFORM SIGN GA2 TIMES SUM
U+120E9	𒃩	CUNEIFORM SIGN GA2 TIMES TAK4
U+120EA	𒃪	CUNEIFORM SIGN GA2 TIMES U
U+120EB	𒃫	CUNEIFORM SIGN GA2 TIMES UD
U+120EC	𒃬	CUNEIFORM SIGN GA2 TIMES UD PLUS DU
U+120ED	𒃭	CUNEIFORM SIGN GA2 OVER GA2
U+120EE	𒃮	CUNEIFORM SIGN GABA
U+120EF	𒃯	CUNEIFORM SIGN GABA CROSSING GABA
U+120F0	𒃰	CUNEIFORM SIGN GAD
U+120F1	𒃱	CUNEIFORM SIGN GAD OVER GAD GAR OVER GAR
U+120F2	𒃲	CUNEIFORM SIGN GAL
U+120F3	𒃳	CUNEIFORM SIGN GAL GAD OVER GAD GAR OVER GAR
U+120F4	𒃴	CUNEIFORM SIGN GALAM
U+120F5	𒃵	CUNEIFORM SIGN GAM
U+120F6	𒃶	CUNEIFORM SIGN GAN
U+120F7	𒃷	CUNEIFORM SIGN GAN2
U+120F8	𒃸	CUNEIFORM SIGN GAN2 TENU
U+120F9	𒃹	CUNEIFORM SIGN GAN2 OVER GAN2
U+120FA	𒃺	CUNEIFORM SIGN GAN2 CROSSING GAN2
U+120FB	𒃻	CUNEIFORM SIGN GAR
U+120FC	𒃼	CUNEIFORM SIGN GAR3
U+120FD	𒃽	CUNEIFORM SIGN GASHAN
U+120FE	𒃾	CUNEIFORM SIGN GESHTIN
U+120FF	𒃿	CUNEIFORM SIGN GESHTIN TIMES KUR
U+12100	𒄀	CUNEIFORM SIGN GI
U+12101	𒄁	CUNEIFORM SIGN GI TIMES E
U+12102	𒄂	CUNEIFORM SIGN GI TIMES U
U+12103	𒄃	CUNEIFORM SIGN GI CROSSING GI
U+12104	𒄄	CUNEIFORM SIGN GI4
U+12105	𒄅	CUNEIFORM SIGN GI4 OVER GI4
U+12106	𒄆	CUNEIFORM SIGN GI4 CROSSING GI4
U+12107	𒄇	CUNEIFORM SIGN GIDIM
U+12108	𒄈	CUNEIFORM SIGN GIR2
U+12109	𒄉	CUNEIFORM SIGN GIR2 GUNU
U+1210A	𒄊	CUNEIFORM SIGN GIR3
U+1210B	𒄋	CUNEIFORM SIGN GIR3 TIMES A PLUS IGI
U+1210C	𒄌	CUNEIFORM SIGN GIR3 TIMES GAN2 TENU
U+1210D	𒄍	CUNEIFORM SIGN GIR3 TIMES IGI
U+1210E	𒄎	CUNEIFORM SIGN GIR3 TIMES LU PLUS IGI
U+1210F	𒄏	CUNEIFORM SIGN GIR3 TIMES PA
U+12110	𒄐	CUNEIFORM SIGN GISAL
U+12111	𒄑	CUNEIFORM SIGN GISH
U+12112	𒄒	CUNEIFORM SIGN GISH CROSSING GISH
U+12113	𒄓	CUNEIFORM SIGN GISH TIMES BAD
U+12114	𒄔	CUNEIFORM SIGN GISH TIMES TAK4
U+12115	𒄕	CUNEIFORM SIGN GISH TENU
U+12116	𒄖	CUNEIFORM SIGN GU
U+12117	𒄗	CUNEIFORM SIGN GU CROSSING GU
U+12118	𒄘	CUNEIFORM SIGN GU2
U+12119	𒄙	CUNEIFORM SIGN GU2 TIMES KAK
U+1211A	𒄚	CUNEIFORM SIGN GU2 TIMES KAK TIMES IGI GUNU
U+1211B	𒄛	CUNEIFORM SIGN GU2 TIMES NUN
U+1211C	𒄜	CUNEIFORM SIGN GU2 TIMES SAL PLUS TUG2
U+1211D	𒄝	CUNEIFORM SIGN GU2 GUNU
U+1211E	𒄞	CUNEIFORM SIGN GUD
U+1211F	𒄟	CUNEIFORM SIGN GUD TIMES A PLUS KUR
U+12120	𒄠	CUNEIFORM SIGN GUD TIMES KUR
U+12121	𒄡	CUNEIFORM SIGN GUD OVER GUD LUGAL
U+12122	𒄢	CUNEIFORM SIGN GUL
U+12123	𒄣	CUNEIFORM SIGN GUM
U+12124	𒄤	CUNEIFORM SIGN GUM TIMES SHE
U+12125	𒄥	CUNEIFORM SIGN GUR
U+12126	𒄦	CUNEIFORM SIGN GUR7
U+12127	𒄧	CUNEIFORM SIGN GURUN
U+12128	𒄨	CUNEIFORM SIGN GURUSH
U+12129	𒄩	CUNEIFORM SIGN HA
U+1212A	𒄪	CUNEIFORM SIGN HA TENU
U+1212B	𒄫	CUNEIFORM SIGN HA GUNU
U+1212C	𒄬	CUNEIFORM SIGN HAL
U+1212D	𒄭	CUNEIFORM SIGN HI
U+1212E	𒄮	CUNEIFORM SIGN HI TIMES ASH
U+1212F	𒄯	CUNEIFORM SIGN HI TIMES ASH2
U+12130	𒄰	CUNEIFORM SIGN HI TIMES BAD
U+12131	𒄱	CUNEIFORM SIGN HI TIMES DISH
U+12132	𒄲	CUNEIFORM SIGN HI TIMES GAD
U+12133	𒄳	CUNEIFORM SIGN HI TIMES KIN
U+12134	𒄴	CUNEIFORM SIGN HI TIMES NUN
U+12135	𒄵	CUNEIFORM SIGN HI TIMES SHE
U+12136	𒄶	CUNEIFORM SIGN HI TIMES U
U+12137	𒄷	CUNEIFORM SIGN HU
U+12138	𒄸	CUNEIFORM SIGN HUB2
U+12139	𒄹	CUNEIFORM SIGN HUB2 TIMES AN
U+1213A	𒄺	CUNEIFORM SIGN HUB2 TIMES HAL
U+1213B	𒄻	CUNEIFORM SIGN HUB2 TIMES KASKAL
U+1213C	𒄼	CUNEIFORM SIGN HUB2 TIMES LISH
U+1213D	𒄽	CUNEIFORM SIGN HUB2 TIMES UD
U+1213E	𒄾	CUNEIFORM SIGN HUL2
U+1213F	𒄿	CUNEIFORM SIGN I
U+12140	𒅀	CUNEIFORM SIGN I A
U+12141	𒅁	CUNEIFORM SIGN IB
U+12142	𒅂	CUNEIFORM SIGN IDIM
U+12143	𒅃	CUNEIFORM SIGN IDIM OVER IDIM BUR
U+12144	𒅄	CUNEIFORM SIGN IDIM OVER IDIM SQUARED
U+12145	𒅅	CUNEIFORM SIGN IG
U+12146	𒅆	CUNEIFORM SIGN IGI
U+12147	𒅇	CUNEIFORM SIGN IGI DIB
U+12148	𒅈	CUNEIFORM SIGN IGI RI
U+12149	𒅉	CUNEIFORM SIGN IGI OVER IGI SHIR OVER SHIR UD OVER UD
U+1214A	𒅊	CUNEIFORM SIGN IGI GUNU
U+1214B	𒅋	CUNEIFORM SIGN IL
U+1214C	𒅌	CUNEIFORM SIGN IL TIMES GAN2 TENU
U+1214D	𒅍	CUNEIFORM SIGN IL2
U+1214E	𒅎	CUNEIFORM SIGN IM
U+1214F	𒅏	CUNEIFORM SIGN IM TIMES TAK4
U+12150	𒅐	CUNEIFORM SIGN IM CROSSING IM
U+12151	𒅑	CUNEIFORM SIGN IM OPPOSING IM
U+12152	𒅒	CUNEIFORM SIGN IM SQUARED
U+12153	𒅓	CUNEIFORM SIGN IMIN
U+12154	𒅔	CUNEIFORM SIGN IN
U+12155	𒅕	CUNEIFORM SIGN IR
U+12156	𒅖	CUNEIFORM SIGN ISH
U+12157	𒅗	CUNEIFORM SIGN KA
U+12158	𒅘	CUNEIFORM SIGN KA TIMES A
U+12159	𒅙	CUNEIFORM SIGN KA TIMES AD
U+1215A	𒅚	CUNEIFORM SIGN KA TIMES AD PLUS KU3
U+1215B	𒅛	CUNEIFORM SIGN KA TIMES ASH2
U+1215C	𒅜	CUNEIFORM SIGN KA TIMES BAD
U+1215D	𒅝	CUNEIFORM SIGN KA TIMES BALAG
U+1215E	𒅞	CUNEIFORM SIGN KA TIMES BAR
U+1215F	𒅟	CUNEIFORM SIGN KA TIMES BI
U+12160	𒅠	CUNEIFORM SIGN KA TIMES ERIN2
U+12161	𒅡	CUNEIFORM SIGN KA TIMES ESH2
U+12162	𒅢	CUNEIFORM SIGN KA TIMES GA
U+12163	𒅣	CUNEIFORM SIGN KA TIMES GAL
U+12164	𒅤	CUNEIFORM SIGN KA TIMES GAN2 TENU
U+12165	𒅥	CUNEIFORM SIGN KA TIMES GAR
U+12166	𒅦	CUNEIFORM SIGN KA TIMES GAR PLUS SHA3 PLUS A
U+12167	𒅧	CUNEIFORM SIGN KA TIMES GI
U+12168	𒅨	CUNEIFORM SIGN KA TIMES GIR2
U+12169	𒅩	CUNEIFORM SIGN KA TIMES GISH PLUS SAR
U+1216A	𒅪	CUNEIFORM SIGN KA TIMES GISH CROSSING GISH
U+1216B	𒅫	CUNEIFORM SIGN KA TIMES GU
U+1216C	𒅬	CUNEIFORM SIGN KA TIMES GUR7
U+1216D	𒅭	CUNEIFORM SIGN KA TIMES IGI
U+1216E	𒅮	CUNEIFORM SIGN KA TIMES IM
U+1216F	𒅯	CUNEIFORM SIGN KA TIMES KAK
U+12170	𒅰	CUNEIFORM SIGN KA TIMES KI
U+12171	𒅱	CUNEIFORM SIGN KA TIMES KID
U+12172	𒅲	CUNEIFORM SIGN KA TIMES LI
U+12173	𒅳	CUNEIFORM SIGN KA TIMES LU
U+12174	𒅴	CUNEIFORM SIGN KA TIMES ME
U+12175	𒅵	CUNEIFORM SIGN KA TIMES ME PLUS DU
U+12176	𒅶	CUNEIFORM SIGN KA TIMES ME PLUS GI
U+12177	𒅷	CUNEIFORM SIGN KA TIMES ME PLUS TE
U+12178	𒅸	CUNEIFORM SIGN KA TIMES MI
U+12179	𒅹	CUNEIFORM SIGN KA TIMES MI PLUS NUNUZ
U+1217A	𒅺	CUNEIFORM SIGN KA TIMES NE
U+1217B	𒅻	CUNEIFORM SIGN KA TIMES NUN
U+1217C	𒅼	CUNEIFORM SIGN KA TIMES PI
U+1217D	𒅽	CUNEIFORM SIGN KA TIMES RU
U+1217E	𒅾	CUNEIFORM SIGN KA TIMES SA
U+1217F	𒅿	CUNEIFORM SIGN KA TIMES SAR
U+12180	𒆀	CUNEIFORM SIGN KA TIMES SHA
U+12181	𒆁	CUNEIFORM SIGN KA TIMES SHE
U+12182	𒆂	CUNEIFORM SIGN KA TIMES SHID
U+12183	𒆃	CUNEIFORM SIGN KA TIMES SHU
U+12184	𒆄	CUNEIFORM SIGN KA TIMES SIG
U+12185	𒆅	CUNEIFORM SIGN KA TIMES SUHUR
U+12186	𒆆	CUNEIFORM SIGN KA TIMES TAR
U+12187	𒆇	CUNEIFORM SIGN KA TIMES U
U+12188	𒆈	CUNEIFORM SIGN KA TIMES U2
U+12189	𒆉	CUNEIFORM SIGN KA TIMES UD
U+1218A	𒆊	CUNEIFORM SIGN KA TIMES UMUM TIMES PA
U+1218B	𒆋	CUNEIFORM SIGN KA TIMES USH
U+1218C	𒆌	CUNEIFORM SIGN KA TIMES ZI
U+1218D	𒆍	CUNEIFORM SIGN KA2
U+1218E	𒆎	CUNEIFORM SIGN KA2 CROSSING KA2
U+1218F	𒆏	CUNEIFORM SIGN KAB
U+12190	𒆐	CUNEIFORM SIGN KAD2
U+12191	𒆑	CUNEIFORM SIGN KAD3
U+12192	𒆒	CUNEIFORM SIGN KAD4
U+12193	𒆓	CUNEIFORM SIGN KAD5
U+12194	𒆔	CUNEIFORM SIGN KAD5 OVER KAD5
U+12195	𒆕	CUNEIFORM SIGN KAK
U+12196	𒆖	CUNEIFORM SIGN KAK TIMES IGI GUNU
U+12197	𒆗	CUNEIFORM SIGN KAL
U+12198	𒆘	CUNEIFORM SIGN KAL TIMES BAD
U+12199	𒆙	CUNEIFORM SIGN KAL CROSSING KAL
U+1219A	𒆚	CUNEIFORM SIGN KAM2
U+1219B	𒆛	CUNEIFORM SIGN KAM4
U+1219C	𒆜	CUNEIFORM SIGN KASKAL
U+1219D	𒆝	CUNEIFORM SIGN KASKAL LAGAB TIMES U OVER LAGAB TIMES U
