# Egyptian hieroglyphs as encoded (Gardiner via Unicode names). No language keywords invented.
# Copyright (C) 1993-2026 Abhishek Choudhary. GPL-3.0-or-later.
# Direct Unicode inventory. NOT a Devanagari hub. NOT invented keywords.
cp	ch	unicode_name
U+1304C	𓁌	EGYPTIAN HIEROGLYPH A067
U+1304D	𓁍	EGYPTIAN HIEROGLYPH A068
U+1304E	𓁎	EGYPTIAN HIEROGLYPH A069
U+1304F	𓁏	EGYPTIAN HIEROGLYPH A070
U+13050	𓁐	EGYPTIAN HIEROGLYPH B001
U+13051	𓁑	EGYPTIAN HIEROGLYPH B002
U+13052	𓁒	EGYPTIAN HIEROGLYPH B003
U+13053	𓁓	EGYPTIAN HIEROGLYPH B004
U+13054	𓁔	EGYPTIAN HIEROGLYPH B005
U+13055	𓁕	EGYPTIAN HIEROGLYPH B005A
U+13056	𓁖	EGYPTIAN HIEROGLYPH B006
U+13057	𓁗	EGYPTIAN HIEROGLYPH B007
U+13058	𓁘	EGYPTIAN HIEROGLYPH B008
U+13059	𓁙	EGYPTIAN HIEROGLYPH B009
U+1305A	𓁚	EGYPTIAN HIEROGLYPH C001
U+1305B	𓁛	EGYPTIAN HIEROGLYPH C002
U+1305C	𓁜	EGYPTIAN HIEROGLYPH C002A
U+1305D	𓁝	EGYPTIAN HIEROGLYPH C002B
U+1305E	𓁞	EGYPTIAN HIEROGLYPH C002C
U+1305F	𓁟	EGYPTIAN HIEROGLYPH C003
U+13060	𓁠	EGYPTIAN HIEROGLYPH C004
U+13061	𓁡	EGYPTIAN HIEROGLYPH C005
U+13062	𓁢	EGYPTIAN HIEROGLYPH C006
U+13063	𓁣	EGYPTIAN HIEROGLYPH C007
U+13064	𓁤	EGYPTIAN HIEROGLYPH C008
U+13065	𓁥	EGYPTIAN HIEROGLYPH C009
U+13066	𓁦	EGYPTIAN HIEROGLYPH C010
U+13067	𓁧	EGYPTIAN HIEROGLYPH C010A
U+13068	𓁨	EGYPTIAN HIEROGLYPH C011
U+13069	𓁩	EGYPTIAN HIEROGLYPH C012
U+1306A	𓁪	EGYPTIAN HIEROGLYPH C013
U+1306B	𓁫	EGYPTIAN HIEROGLYPH C014
U+1306C	𓁬	EGYPTIAN HIEROGLYPH C015
U+1306D	𓁭	EGYPTIAN HIEROGLYPH C016
U+1306E	𓁮	EGYPTIAN HIEROGLYPH C017
U+1306F	𓁯	EGYPTIAN HIEROGLYPH C018
U+13070	𓁰	EGYPTIAN HIEROGLYPH C019
U+13071	𓁱	EGYPTIAN HIEROGLYPH C020
U+13072	𓁲	EGYPTIAN HIEROGLYPH C021
U+13073	𓁳	EGYPTIAN HIEROGLYPH C022
U+13074	𓁴	EGYPTIAN HIEROGLYPH C023
U+13075	𓁵	EGYPTIAN HIEROGLYPH C024
U+13076	𓁶	EGYPTIAN HIEROGLYPH D001
U+13077	𓁷	EGYPTIAN HIEROGLYPH D002
U+13078	𓁸	EGYPTIAN HIEROGLYPH D003
U+13079	𓁹	EGYPTIAN HIEROGLYPH D004
U+1307A	𓁺	EGYPTIAN HIEROGLYPH D005
U+1307B	𓁻	EGYPTIAN HIEROGLYPH D006
U+1307C	𓁼	EGYPTIAN HIEROGLYPH D007
U+1307D	𓁽	EGYPTIAN HIEROGLYPH D008
U+1307E	𓁾	EGYPTIAN HIEROGLYPH D008A
U+1307F	𓁿	EGYPTIAN HIEROGLYPH D009
U+13080	𓂀	EGYPTIAN HIEROGLYPH D010
U+13081	𓂁	EGYPTIAN HIEROGLYPH D011
U+13082	𓂂	EGYPTIAN HIEROGLYPH D012
U+13083	𓂃	EGYPTIAN HIEROGLYPH D013
U+13084	𓂄	EGYPTIAN HIEROGLYPH D014
U+13085	𓂅	EGYPTIAN HIEROGLYPH D015
U+13086	𓂆	EGYPTIAN HIEROGLYPH D016
U+13087	𓂇	EGYPTIAN HIEROGLYPH D017
U+13088	𓂈	EGYPTIAN HIEROGLYPH D018
U+13089	𓂉	EGYPTIAN HIEROGLYPH D019
U+1308A	𓂊	EGYPTIAN HIEROGLYPH D020
U+1308B	𓂋	EGYPTIAN HIEROGLYPH D021
U+1308C	𓂌	EGYPTIAN HIEROGLYPH D022
U+1308D	𓂍	EGYPTIAN HIEROGLYPH D023
U+1308E	𓂎	EGYPTIAN HIEROGLYPH D024
U+1308F	𓂏	EGYPTIAN HIEROGLYPH D025
U+13090	𓂐	EGYPTIAN HIEROGLYPH D026
U+13091	𓂑	EGYPTIAN HIEROGLYPH D027
U+13092	𓂒	EGYPTIAN HIEROGLYPH D027A
U+13093	𓂓	EGYPTIAN HIEROGLYPH D028
U+13094	𓂔	EGYPTIAN HIEROGLYPH D029
U+13095	𓂕	EGYPTIAN HIEROGLYPH D030
U+13096	𓂖	EGYPTIAN HIEROGLYPH D031
U+13097	𓂗	EGYPTIAN HIEROGLYPH D031A
U+13098	𓂘	EGYPTIAN HIEROGLYPH D032
U+13099	𓂙	EGYPTIAN HIEROGLYPH D033
U+1309A	𓂚	EGYPTIAN HIEROGLYPH D034
U+1309B	𓂛	EGYPTIAN HIEROGLYPH D034A
U+1309C	𓂜	EGYPTIAN HIEROGLYPH D035
U+1309D	𓂝	EGYPTIAN HIEROGLYPH D036
U+1309E	𓂞	EGYPTIAN HIEROGLYPH D037
U+1309F	𓂟	EGYPTIAN HIEROGLYPH D038
U+130A0	𓂠	EGYPTIAN HIEROGLYPH D039
U+130A1	𓂡	EGYPTIAN HIEROGLYPH D040
U+130A2	𓂢	EGYPTIAN HIEROGLYPH D041
U+130A3	𓂣	EGYPTIAN HIEROGLYPH D042
U+130A4	𓂤	EGYPTIAN HIEROGLYPH D043
U+130A5	𓂥	EGYPTIAN HIEROGLYPH D044
U+130A6	𓂦	EGYPTIAN HIEROGLYPH D045
U+130A7	𓂧	EGYPTIAN HIEROGLYPH D046
U+130A8	𓂨	EGYPTIAN HIEROGLYPH D046A
U+130A9	𓂩	EGYPTIAN HIEROGLYPH D047
U+130AA	𓂪	EGYPTIAN HIEROGLYPH D048
U+130AB	𓂫	EGYPTIAN HIEROGLYPH D048A
U+130AC	𓂬	EGYPTIAN HIEROGLYPH D049
U+130AD	𓂭	EGYPTIAN HIEROGLYPH D050
U+130AE	𓂮	EGYPTIAN HIEROGLYPH D050A
U+130AF	𓂯	EGYPTIAN HIEROGLYPH D050B
U+130B0	𓂰	EGYPTIAN HIEROGLYPH D050C
U+130B1	𓂱	EGYPTIAN HIEROGLYPH D050D
U+130B2	𓂲	EGYPTIAN HIEROGLYPH D050E
U+130B3	𓂳	EGYPTIAN HIEROGLYPH D050F
U+130B4	𓂴	EGYPTIAN HIEROGLYPH D050G
U+130B5	𓂵	EGYPTIAN HIEROGLYPH D050H
U+130B6	𓂶	EGYPTIAN HIEROGLYPH D050I
U+130B7	𓂷	EGYPTIAN HIEROGLYPH D051
U+130B8	𓂸	EGYPTIAN HIEROGLYPH D052
U+130B9	𓂹	EGYPTIAN HIEROGLYPH D052A
U+130BA	𓂺	EGYPTIAN HIEROGLYPH D053
U+130BB	𓂻	EGYPTIAN HIEROGLYPH D054
U+130BC	𓂼	EGYPTIAN HIEROGLYPH D054A
U+130BD	𓂽	EGYPTIAN HIEROGLYPH D055
U+130BE	𓂾	EGYPTIAN HIEROGLYPH D056
U+130BF	𓂿	EGYPTIAN HIEROGLYPH D057
U+130C0	𓃀	EGYPTIAN HIEROGLYPH D058
U+130C1	𓃁	EGYPTIAN HIEROGLYPH D059
U+130C2	𓃂	EGYPTIAN HIEROGLYPH D060
U+130C3	𓃃	EGYPTIAN HIEROGLYPH D061
U+130C4	𓃄	EGYPTIAN HIEROGLYPH D062
U+130C5	𓃅	EGYPTIAN HIEROGLYPH D063
U+130C6	𓃆	EGYPTIAN HIEROGLYPH D064
U+130C7	𓃇	EGYPTIAN HIEROGLYPH D065
U+130C8	𓃈	EGYPTIAN HIEROGLYPH D066
U+130C9	𓃉	EGYPTIAN HIEROGLYPH D067
U+130CA	𓃊	EGYPTIAN HIEROGLYPH D067A
U+130CB	𓃋	EGYPTIAN HIEROGLYPH D067B
U+130CC	𓃌	EGYPTIAN HIEROGLYPH D067C
U+130CD	𓃍	EGYPTIAN HIEROGLYPH D067D
U+130CE	𓃎	EGYPTIAN HIEROGLYPH D067E
U+130CF	𓃏	EGYPTIAN HIEROGLYPH D067F
U+130D0	𓃐	EGYPTIAN HIEROGLYPH D067G
U+130D1	𓃑	EGYPTIAN HIEROGLYPH D067H
U+130D2	𓃒	EGYPTIAN HIEROGLYPH E001
U+130D3	𓃓	EGYPTIAN HIEROGLYPH E002
U+130D4	𓃔	EGYPTIAN HIEROGLYPH E003
U+130D5	𓃕	EGYPTIAN HIEROGLYPH E004
U+130D6	𓃖	EGYPTIAN HIEROGLYPH E005
U+130D7	𓃗	EGYPTIAN HIEROGLYPH E006
U+130D8	𓃘	EGYPTIAN HIEROGLYPH E007
U+130D9	𓃙	EGYPTIAN HIEROGLYPH E008
U+130DA	𓃚	EGYPTIAN HIEROGLYPH E008A
U+130DB	𓃛	EGYPTIAN HIEROGLYPH E009
U+130DC	𓃜	EGYPTIAN HIEROGLYPH E009A
U+130DD	𓃝	EGYPTIAN HIEROGLYPH E010
U+130DE	𓃞	EGYPTIAN HIEROGLYPH E011
U+130DF	𓃟	EGYPTIAN HIEROGLYPH E012
U+130E0	𓃠	EGYPTIAN HIEROGLYPH E013
U+130E1	𓃡	EGYPTIAN HIEROGLYPH E014
U+130E2	𓃢	EGYPTIAN HIEROGLYPH E015
U+130E3	𓃣	EGYPTIAN HIEROGLYPH E016
U+130E4	𓃤	EGYPTIAN HIEROGLYPH E016A
U+130E5	𓃥	EGYPTIAN HIEROGLYPH E017
U+130E6	𓃦	EGYPTIAN HIEROGLYPH E017A
U+130E7	𓃧	EGYPTIAN HIEROGLYPH E018
U+130E8	𓃨	EGYPTIAN HIEROGLYPH E019
U+130E9	𓃩	EGYPTIAN HIEROGLYPH E020
U+130EA	𓃪	EGYPTIAN HIEROGLYPH E020A
U+130EB	𓃫	EGYPTIAN HIEROGLYPH E021
U+130EC	𓃬	EGYPTIAN HIEROGLYPH E022
U+130ED	𓃭	EGYPTIAN HIEROGLYPH E023
U+130EE	𓃮	EGYPTIAN HIEROGLYPH E024
U+130EF	𓃯	EGYPTIAN HIEROGLYPH E025
U+130F0	𓃰	EGYPTIAN HIEROGLYPH E026
U+130F1	𓃱	EGYPTIAN HIEROGLYPH E027
U+130F2	𓃲	EGYPTIAN HIEROGLYPH E028
U+130F3	𓃳	EGYPTIAN HIEROGLYPH E028A
U+130F4	𓃴	EGYPTIAN HIEROGLYPH E029
U+130F5	𓃵	EGYPTIAN HIEROGLYPH E030
U+130F6	𓃶	EGYPTIAN HIEROGLYPH E031
U+130F7	𓃷	EGYPTIAN HIEROGLYPH E032
U+130F8	𓃸	EGYPTIAN HIEROGLYPH E033
U+130F9	𓃹	EGYPTIAN HIEROGLYPH E034
U+130FA	𓃺	EGYPTIAN HIEROGLYPH E034A
U+130FB	𓃻	EGYPTIAN HIEROGLYPH E036
U+130FC	𓃼	EGYPTIAN HIEROGLYPH E037
U+130FD	𓃽	EGYPTIAN HIEROGLYPH E038
U+130FE	𓃾	EGYPTIAN HIEROGLYPH F001
U+130FF	𓃿	EGYPTIAN HIEROGLYPH F001A
U+13100	𓄀	EGYPTIAN HIEROGLYPH F002
U+13101	𓄁	EGYPTIAN HIEROGLYPH F003
U+13102	𓄂	EGYPTIAN HIEROGLYPH F004
U+13103	𓄃	EGYPTIAN HIEROGLYPH F005
U+13104	𓄄	EGYPTIAN HIEROGLYPH F006
U+13105	𓄅	EGYPTIAN HIEROGLYPH F007
U+13106	𓄆	EGYPTIAN HIEROGLYPH F008
U+13107	𓄇	EGYPTIAN HIEROGLYPH F009
U+13108	𓄈	EGYPTIAN HIEROGLYPH F010
U+13109	𓄉	EGYPTIAN HIEROGLYPH F011
U+1310A	𓄊	EGYPTIAN HIEROGLYPH F012
U+1310B	𓄋	EGYPTIAN HIEROGLYPH F013
U+1310C	𓄌	EGYPTIAN HIEROGLYPH F013A
U+1310D	𓄍	EGYPTIAN HIEROGLYPH F014
U+1310E	𓄎	EGYPTIAN HIEROGLYPH F015
U+1310F	𓄏	EGYPTIAN HIEROGLYPH F016
U+13110	𓄐	EGYPTIAN HIEROGLYPH F017
U+13111	𓄑	EGYPTIAN HIEROGLYPH F018
U+13112	𓄒	EGYPTIAN HIEROGLYPH F019
U+13113	𓄓	EGYPTIAN HIEROGLYPH F020
U+13114	𓄔	EGYPTIAN HIEROGLYPH F021
U+13115	𓄕	EGYPTIAN HIEROGLYPH F021A
U+13116	𓄖	EGYPTIAN HIEROGLYPH F022
U+13117	𓄗	EGYPTIAN HIEROGLYPH F023
U+13118	𓄘	EGYPTIAN HIEROGLYPH F024
U+13119	𓄙	EGYPTIAN HIEROGLYPH F025
U+1311A	𓄚	EGYPTIAN HIEROGLYPH F026
U+1311B	𓄛	EGYPTIAN HIEROGLYPH F027
U+1311C	𓄜	EGYPTIAN HIEROGLYPH F028
U+1311D	𓄝	EGYPTIAN HIEROGLYPH F029
U+1311E	𓄞	EGYPTIAN HIEROGLYPH F030
U+1311F	𓄟	EGYPTIAN HIEROGLYPH F031
U+13120	𓄠	EGYPTIAN HIEROGLYPH F031A
U+13121	𓄡	EGYPTIAN HIEROGLYPH F032
U+13122	𓄢	EGYPTIAN HIEROGLYPH F033
U+13123	𓄣	EGYPTIAN HIEROGLYPH F034
U+13124	𓄤	EGYPTIAN HIEROGLYPH F035
U+13125	𓄥	EGYPTIAN HIEROGLYPH F036
U+13126	𓄦	EGYPTIAN HIEROGLYPH F037
U+13127	𓄧	EGYPTIAN HIEROGLYPH F037A
U+13128	𓄨	EGYPTIAN HIEROGLYPH F038
U+13129	𓄩	EGYPTIAN HIEROGLYPH F038A
U+1312A	𓄪	EGYPTIAN HIEROGLYPH F039
U+1312B	𓄫	EGYPTIAN HIEROGLYPH F040
U+1312C	𓄬	EGYPTIAN HIEROGLYPH F041
U+1312D	𓄭	EGYPTIAN HIEROGLYPH F042
U+1312E	𓄮	EGYPTIAN HIEROGLYPH F043
U+1312F	𓄯	EGYPTIAN HIEROGLYPH F044
U+13130	𓄰	EGYPTIAN HIEROGLYPH F045
U+13131	𓄱	EGYPTIAN HIEROGLYPH F045A
U+13132	𓄲	EGYPTIAN HIEROGLYPH F046
U+13133	𓄳	EGYPTIAN HIEROGLYPH F046A
U+13134	𓄴	EGYPTIAN HIEROGLYPH F047
U+13135	𓄵	EGYPTIAN HIEROGLYPH F047A
U+13136	𓄶	EGYPTIAN HIEROGLYPH F048
U+13137	𓄷	EGYPTIAN HIEROGLYPH F049
U+13138	𓄸	EGYPTIAN HIEROGLYPH F050
U+13139	𓄹	EGYPTIAN HIEROGLYPH F051
U+1313A	𓄺	EGYPTIAN HIEROGLYPH F051A
U+1313B	𓄻	EGYPTIAN HIEROGLYPH F051B
U+1313C	𓄼	EGYPTIAN HIEROGLYPH F051C
U+1313D	𓄽	EGYPTIAN HIEROGLYPH F052
U+1313E	𓄾	EGYPTIAN HIEROGLYPH F053
U+1313F	𓄿	EGYPTIAN HIEROGLYPH G001
U+13140	𓅀	EGYPTIAN HIEROGLYPH G002
U+13141	𓅁	EGYPTIAN HIEROGLYPH G003
U+13142	𓅂	EGYPTIAN HIEROGLYPH G004
U+13143	𓅃	EGYPTIAN HIEROGLYPH G005
U+13144	𓅄	EGYPTIAN HIEROGLYPH G006
U+13145	𓅅	EGYPTIAN HIEROGLYPH G006A
U+13146	𓅆	EGYPTIAN HIEROGLYPH G007
U+13147	𓅇	EGYPTIAN HIEROGLYPH G007A
U+13148	𓅈	EGYPTIAN HIEROGLYPH G007B
U+13149	𓅉	EGYPTIAN HIEROGLYPH G008
U+1314A	𓅊	EGYPTIAN HIEROGLYPH G009
U+1314B	𓅋	EGYPTIAN HIEROGLYPH G010
U+1314C	𓅌	EGYPTIAN HIEROGLYPH G011
U+1314D	𓅍	EGYPTIAN HIEROGLYPH G011A
U+1314E	𓅎	EGYPTIAN HIEROGLYPH G012
U+1314F	𓅏	EGYPTIAN HIEROGLYPH G013
U+13150	𓅐	EGYPTIAN HIEROGLYPH G014
U+13151	𓅑	EGYPTIAN HIEROGLYPH G015
U+13152	𓅒	EGYPTIAN HIEROGLYPH G016
U+13153	𓅓	EGYPTIAN HIEROGLYPH G017
U+13154	𓅔	EGYPTIAN HIEROGLYPH G018
U+13155	𓅕	EGYPTIAN HIEROGLYPH G019
U+13156	𓅖	EGYPTIAN HIEROGLYPH G020
U+13157	𓅗	EGYPTIAN HIEROGLYPH G020A
U+13158	𓅘	EGYPTIAN HIEROGLYPH G021
U+13159	𓅙	EGYPTIAN HIEROGLYPH G022
U+1315A	𓅚	EGYPTIAN HIEROGLYPH G023
U+1315B	𓅛	EGYPTIAN HIEROGLYPH G024
U+1315C	𓅜	EGYPTIAN HIEROGLYPH G025
U+1315D	𓅝	EGYPTIAN HIEROGLYPH G026
U+1315E	𓅞	EGYPTIAN HIEROGLYPH G026A
U+1315F	𓅟	EGYPTIAN HIEROGLYPH G027
U+13160	𓅠	EGYPTIAN HIEROGLYPH G028
U+13161	𓅡	EGYPTIAN HIEROGLYPH G029
U+13162	𓅢	EGYPTIAN HIEROGLYPH G030
U+13163	𓅣	EGYPTIAN HIEROGLYPH G031
U+13164	𓅤	EGYPTIAN HIEROGLYPH G032
U+13165	𓅥	EGYPTIAN HIEROGLYPH G033
U+13166	𓅦	EGYPTIAN HIEROGLYPH G034
U+13167	𓅧	EGYPTIAN HIEROGLYPH G035
U+13168	𓅨	EGYPTIAN HIEROGLYPH G036
U+13169	𓅩	EGYPTIAN HIEROGLYPH G036A
U+1316A	𓅪	EGYPTIAN HIEROGLYPH G037
U+1316B	𓅫	EGYPTIAN HIEROGLYPH G037A
U+1316C	𓅬	EGYPTIAN HIEROGLYPH G038
U+1316D	𓅭	EGYPTIAN HIEROGLYPH G039
U+1316E	𓅮	EGYPTIAN HIEROGLYPH G040
U+1316F	𓅯	EGYPTIAN HIEROGLYPH G041
U+13170	𓅰	EGYPTIAN HIEROGLYPH G042
U+13171	𓅱	EGYPTIAN HIEROGLYPH G043
U+13172	𓅲	EGYPTIAN HIEROGLYPH G043A
U+13173	𓅳	EGYPTIAN HIEROGLYPH G044
U+13174	𓅴	EGYPTIAN HIEROGLYPH G045
U+13175	𓅵	EGYPTIAN HIEROGLYPH G045A
U+13176	𓅶	EGYPTIAN HIEROGLYPH G046
U+13177	𓅷	EGYPTIAN HIEROGLYPH G047
U+13178	𓅸	EGYPTIAN HIEROGLYPH G048
U+13179	𓅹	EGYPTIAN HIEROGLYPH G049
U+1317A	𓅺	EGYPTIAN HIEROGLYPH G050
U+1317B	𓅻	EGYPTIAN HIEROGLYPH G051
U+1317C	𓅼	EGYPTIAN HIEROGLYPH G052
U+1317D	𓅽	EGYPTIAN HIEROGLYPH G053
U+1317E	𓅾	EGYPTIAN HIEROGLYPH G054
U+1317F	𓅿	EGYPTIAN HIEROGLYPH H001
U+13180	𓆀	EGYPTIAN HIEROGLYPH H002
U+13181	𓆁	EGYPTIAN HIEROGLYPH H003
U+13182	𓆂	EGYPTIAN HIEROGLYPH H004
U+13183	𓆃	EGYPTIAN HIEROGLYPH H005
U+13184	𓆄	EGYPTIAN HIEROGLYPH H006
U+13185	𓆅	EGYPTIAN HIEROGLYPH H006A
U+13186	𓆆	EGYPTIAN HIEROGLYPH H007
U+13187	𓆇	EGYPTIAN HIEROGLYPH H008
U+13188	𓆈	EGYPTIAN HIEROGLYPH I001
U+13189	𓆉	EGYPTIAN HIEROGLYPH I002
U+1318A	𓆊	EGYPTIAN HIEROGLYPH I003
U+1318B	𓆋	EGYPTIAN HIEROGLYPH I004
U+1318C	𓆌	EGYPTIAN HIEROGLYPH I005
U+1318D	𓆍	EGYPTIAN HIEROGLYPH I005A
U+1318E	𓆎	EGYPTIAN HIEROGLYPH I006
U+1318F	𓆏	EGYPTIAN HIEROGLYPH I007
U+13190	𓆐	EGYPTIAN HIEROGLYPH I008
U+13191	𓆑	EGYPTIAN HIEROGLYPH I009
U+13192	𓆒	EGYPTIAN HIEROGLYPH I009A
U+13193	𓆓	EGYPTIAN HIEROGLYPH I010
U+13194	𓆔	EGYPTIAN HIEROGLYPH I010A
U+13195	𓆕	EGYPTIAN HIEROGLYPH I011
U+13196	𓆖	EGYPTIAN HIEROGLYPH I011A
U+13197	𓆗	EGYPTIAN HIEROGLYPH I012
U+13198	𓆘	EGYPTIAN HIEROGLYPH I013
U+13199	𓆙	EGYPTIAN HIEROGLYPH I014
U+1319A	𓆚	EGYPTIAN HIEROGLYPH I015
U+1319B	𓆛	EGYPTIAN HIEROGLYPH K001
U+1319C	𓆜	EGYPTIAN HIEROGLYPH K002
U+1319D	𓆝	EGYPTIAN HIEROGLYPH K003
U+1319E	𓆞	EGYPTIAN HIEROGLYPH K004
U+1319F	𓆟	EGYPTIAN HIEROGLYPH K005
U+131A0	𓆠	EGYPTIAN HIEROGLYPH K006
U+131A1	𓆡	EGYPTIAN HIEROGLYPH K007
U+131A2	𓆢	EGYPTIAN HIEROGLYPH K008
U+131A3	𓆣	EGYPTIAN HIEROGLYPH L001
U+131A4	𓆤	EGYPTIAN HIEROGLYPH L002
U+131A5	𓆥	EGYPTIAN HIEROGLYPH L002A
U+131A6	𓆦	EGYPTIAN HIEROGLYPH L003
U+131A7	𓆧	EGYPTIAN HIEROGLYPH L004
U+131A8	𓆨	EGYPTIAN HIEROGLYPH L005
U+131A9	𓆩	EGYPTIAN HIEROGLYPH L006
U+131AA	𓆪	EGYPTIAN HIEROGLYPH L006A
U+131AB	𓆫	EGYPTIAN HIEROGLYPH L007
U+131AC	𓆬	EGYPTIAN HIEROGLYPH L008
U+131AD	𓆭	EGYPTIAN HIEROGLYPH M001
U+131AE	𓆮	EGYPTIAN HIEROGLYPH M001A
U+131AF	𓆯	EGYPTIAN HIEROGLYPH M001B
U+131B0	𓆰	EGYPTIAN HIEROGLYPH M002
U+131B1	𓆱	EGYPTIAN HIEROGLYPH M003
U+131B2	𓆲	EGYPTIAN HIEROGLYPH M003A
U+131B3	𓆳	EGYPTIAN HIEROGLYPH M004
U+131B4	𓆴	EGYPTIAN HIEROGLYPH M005
U+131B5	𓆵	EGYPTIAN HIEROGLYPH M006
U+131B6	𓆶	EGYPTIAN HIEROGLYPH M007
U+131B7	𓆷	EGYPTIAN HIEROGLYPH M008
U+131B8	𓆸	EGYPTIAN HIEROGLYPH M009
U+131B9	𓆹	EGYPTIAN HIEROGLYPH M010
U+131BA	𓆺	EGYPTIAN HIEROGLYPH M010A
U+131BB	𓆻	EGYPTIAN HIEROGLYPH M011
U+131BC	𓆼	EGYPTIAN HIEROGLYPH M012
U+131BD	𓆽	EGYPTIAN HIEROGLYPH M012A
U+131BE	𓆾	EGYPTIAN HIEROGLYPH M012B
