ISO,"7-bit ISO",Deva,Aran,Beng,Guru,Gujr,Orya,Taml,Telu,Knda,Mlym,Sinh
gh,gh,घ,گھ‎,ঘ,ਘ,ઘ,ଘ,,ఘ,ಘ,ഘ,ඝ
ṅ,;n,ङ,ن٘‎,ঙ,ਙ,ઙ,ଙ,ங,ఙ,ಙ,ങ,ඞ
n̆g,^ng,,,,,,,,,,,ඟ
c,c,च,چ‎,চ,ਚ,ચ,ଚ,ச,చ,ಚ,ച,ච
ĉ,^c,,,,,,,,ౘ,,,
ch,ch,छ,چھ‎,ছ,ਛ,છ,ଛ,,ఛ,ಛ,ഛ,ඡ
j,j,ज,ج‎,জ,ਜ,જ,ଜ,ஜ,జ,ಜ,ജ,ජ
jh,jh,झ,جھ‎,ঝ,ਝ,ઝ,ଝ,,ఝ,ಝ,ഝ,ඣ
ñ,~n,ञ,ڃ‎,ঞ,ਞ,ઞ,ଞ,ஞ,ఞ,ಞ,ഞ,ඤ
n̆j,^nj,,,,,,,,,,,ඦ
ṭ,.t,ट,ٹ‎,ট,ਟ,ટ,ଟ,ட,ట,ಟ,ട,ට
ṭh,.th,ठ,ٹھ‎,ঠ,ਠ,ઠ,ଠ,,ఠ,ಠ,ഠ,ඨ
ḍ,.d,ड,ڈ‎,ড,ਡ,ડ,ଡ,,డ,ಡ,ഡ,ඩ
ḍh,.dh,ढ,ڈھ‎,ঢ,ਢ,ઢ,ଢ,,ఢ,ಢ,ഢ,ඪ
ṛ,.r,ड़,ڑ‎,ড়,ੜ,,ଡ଼,,,,,
ṛh,.rh,ढ़,ڑھ‎,ঢ়,,,ଢ଼,,,,,
ṇ,.n,ण,ݨ‎,ণ,ਣ,ણ,ଣ,ண,ణ,ಣ,ണ,ණ
n̆ḍ,^n.d,,,,,,,,,,,ඬ
t,t,त,ت‎,ত,ਤ,ત,ତ,த,త,ತ,ത,ත
th,th,थ,تھ‎,থ,ਥ,થ,ଥ,,థ,ಥ,ഥ,ථ
d,d,द,د‎,দ,ਦ,દ,ଦ,,ద,ದ,ദ,ද
dh,dh,ध,دھ‎,ধ,ਧ,ધ,ଧ,,ధ,ಧ,ധ,ධ
n,n,न,ن‎,ন,ਨ,ન,ନ,ந,న,ನ,ന,න
n̆d,^nd,,,,,,,,,,,ඳ
p,p,प,پ‎,প,ਪ,પ,ପ,ப,ప,ಪ,പ,ප
ph,ph,फ,پھ‎,ফ,ਫ,ફ,ଫ,,ఫ,ಫ,ഫ,ඵ
b,b,ब,ب‎,ব,ਬ,બ,ବ,,బ,ಬ,ബ,බ
bh,bh,भ,بھ‎,ভ,ਭ,ભ,ଭ,,భ,ಭ,ഭ,භ
m,m,म,م‎,ম,ਮ,મ,ମ,ம,మ,ಮ,മ,ම
m̆b,^mb,,,,,,,,,,,ඹ
ṟ,_r,ऱ,,,,,,ற,ఱ,ಱ,റ,
ṯ,_t,,,,,,,,,,ഺ,
ṉ,_n,ऩ,,,,,,ன,,,ഩ,
ḻ,_l,ऴ,,,,,,ழ,ఴ,ೞ,ഴ,
y,y,य,ی‎,য,ਯ,ય,ଯ,ய,య,ಯ,യ,ය
ẏ,;y,य़,,য়,,,ୟ,,,,,
r,r,र,ر‎,"র, ৰ",ਰ,ર,ର,ர,ర,ರ,ര,ර
r̆,^r,ऱ्,,,,,,,,,,
l,l,ल,ل‎,ল,ਲ,લ,ଲ,ல,ల,ಲ,ല,ල
ḷ,.l,ळ,,,ਲ਼,ળ,ଳ,ள,ళ,ಳ,ള,ළ
v,v,व,و‎,ৱ,ਵ,વ,ଵ,வ,వ,ವ,വ,ව
ś,;s,श,ش‎,শ,ਸ਼,શ,ଶ,ஶ,శ,ಶ,ശ,ශ
ṣ,.s,ष,,ষ,,ષ,ଷ,ஷ,ష,ಷ,ഷ,ෂ
s,s,स,س‎,স,ਸ,સ,ସ,ஸ,స,ಸ,സ,ස
h,h,ह,ہ‎,হ,ਹ,હ,ହ,ஹ,హ,ಹ,ഹ,හ
’,,ऽ,,ঽ,,ઽ,ଽ,,ఽ,ಽ,ഽ,
q,q,क़,ق‎,ক়,ਕ਼,ક઼,,,,,,
k͟h,_kh,ख़,خ‎,খ়,ਖ਼,ખ઼,,,,,,
ġ,.g,ग़,غ‎,গ়,ਗ਼,ગ઼,,,,,,
z,z,ज़,ز‎,জ়,ਜ਼,જ઼,,,ౙ,ಜ಼,,
f,f,फ़,ف‎,ফ়,ਫ਼,ફ઼,,,,ಫ಼,,ෆ
s̱,_s,थ़,ث‎,,,,,,,,,
s̤,",s",स़,ص‎,,,,,,,,,
h̤,",h",ह़,ح‎,,,,,,,,,
t̤,",t",त़,ط‎,,,,,,,,,
‘,.,अ,ع‎,,,,,,,,,
w,w,व,و‎,,,,ୱ,,,,,
ž,^z,झ़,ژ‎,,,,,,,,,
ẕ,_z,झ़,ذ‎,,,,,,,,,
ż,;z,झ़,ض‎,,,,,,,,,
ẓ,.z,झ़,ظ‎,,,,,,,,,

