Code 	Result 	Description
U+069D 	ڝ 	Arabic Letter Sad With Two Dots Below
U+069E 	ڞ 	Arabic Letter Sad With Three Dots Above
U+069F 	ڟ 	Arabic Letter Tah With Three Dots Above
U+06A0 	ڠ 	Arabic Letter Ain With Three Dots Above
U+06A1 	ڡ 	Arabic Letter Dotless Feh
U+06A2 	ڢ 	Arabic Letter Feh With Dot Moved Below
U+06A3 	ڣ 	Arabic Letter Feh With Dot Below
U+06A4 	ڤ 	Arabic Letter Veh
U+06A5 	ڥ 	Arabic Letter Feh With Three Dots Below
U+06A6 	ڦ 	Arabic Letter Peheh
U+06A7 	ڧ 	Arabic Letter Qaf With Dot Above
U+06A8 	ڨ 	Arabic Letter Qaf With Three Dots Above
U+06A9 	ک 	Arabic Letter Keheh
U+06AA 	ڪ 	Arabic Letter Swash Kaf
U+06AB 	ګ 	Arabic Letter Kaf With Ring
U+06AC 	ڬ 	Arabic Letter Kaf With Dot Above
U+06AD 	ڭ 	Arabic Letter Ng
U+06AE 	ڮ 	Arabic Letter Kaf With Three Dots Below
U+06AF 	گ 	Arabic Letter Gaf
U+06B0 	ڰ 	Arabic Letter Gaf With Ring
U+06B1 	ڱ 	Arabic Letter Ngoeh
U+06B2 	ڲ 	Arabic Letter Gaf With Two Dots Below
U+06B3 	ڳ 	Arabic Letter Gueh
U+06B4 	ڴ 	Arabic Letter Gaf With Three Dots Above
U+06B5 	ڵ 	Arabic Letter Lam With Small V
U+06B6 	ڶ 	Arabic Letter Lam With Dot Above
U+06B7 	ڷ 	Arabic Letter Lam With Three Dots Above
U+06B8 	ڸ 	Arabic Letter Lam With Three Dots Below
U+06B9 	ڹ 	Arabic Letter Noon With Dot Below
U+06BA 	ں 	Arabic Letter Noon Ghunna
U+06BB 	ڻ 	Arabic Letter Rnoon
U+06BC 	ڼ 	Arabic Letter Noon With Ring
U+06BD 	ڽ 	Arabic Letter Noon With Three Dots Above
U+06BE 	ھ 	Arabic Letter Heh Doachashmee
U+06BF 	ڿ 	Arabic Letter Tcheh With Dot Above
U+06C0 	ۀ 	Arabic Letter Heh With Yeh Above
U+06C1 	ہ 	Arabic Letter Heh Goal
U+06C2 	ۂ 	Arabic Letter Heh Goal With Hamza Above
U+06C3 	ۃ 	Arabic Letter Teh Marbuta Goal
U+06C4 	ۄ 	Arabic Letter Waw With Ring
U+06C5 	ۅ 	Arabic Letter Kirghiz Oe
U+06C6 	ۆ 	Arabic Letter Oe
U+06C7 	ۇ 	Arabic Letter U
U+06C8 	ۈ 	Arabic Letter Yu
U+06C9 	ۉ 	Arabic Letter Kirghiz Yu
U+06CA 	ۊ 	Arabic Letter Waw With Two Dots Above
U+06CB 	ۋ 	Arabic Letter Ve
U+06CC 	ی 	Arabic Letter Farsi Yeh
U+06CD 	ۍ 	Arabic Letter Yeh With Tail
U+06CE 	ێ 	Arabic Letter Yeh With Small V
U+06CF 	ۏ 	Arabic Letter Waw With Dot Above
U+06D0 	ې 	Arabic Letter E
U+06D1 	ۑ 	Arabic Letter Yeh With Three Dots Below
U+06D2 	ے 	Arabic Letter Yeh Barree
U+06D3 	ۓ 	Arabic Letter Yeh Barree With Hamza Above
U+06D4 	۔ 	Arabic Full Stop
U+06D5 	ە 	Arabic Letter Ae
U+06D6 	ۖ 	Arabic Small High Ligature Sad With Lam With Alef Maksura
U+06D7 	ۗ 	Arabic Small High Ligature Qaf With Lam With Alef Maksura
U+06D8 	ۘ 	Arabic Small High Meem Initial Form
U+06D9 	ۙ 	Arabic Small High Lam Alef
U+06DA 	ۚ 	Arabic Small High Jeem
U+06DB 	ۛ 	Arabic Small High Three Dots
U+06DC 	ۜ 	Arabic Small High Seen
U+06DD 	۝ 	Arabic End of Ayah
U+06DE 	۞ 	Arabic Star of Rub El Hizb
U+06DF 	۟ 	Arabic Small High Rounded Zero
U+06E0 	۠ 	Arabic Small High Upright Rectangular Zero
U+06E1 	ۡ 	Arabic Small High Dotless Head Of Khah
U+06E2 	ۢ 	Arabic Small High Meem Isolated Form
U+06E3 	ۣ 	Arabic Small Low Seen
U+06E4 	ۤ 	Arabic Small High Madda
U+06E5 	ۥ 	Arabic Small Waw
U+06E6 	ۦ 	Arabic Small Yeh
U+06E7 	ۧ 	Arabic Small High Yeh
U+06E8 	ۨ 	Arabic Small High Noon
U+06E9 	۩ 	Arabic Place Of Sajdah
U+06EA 	۪ 	Arabic Empty Centre Low Stop
U+06EB 	۫ 	Arabic Empty Centre High Stop
U+06EC 	۬ 	Arabic Rounded High Stop With Filled Centre
U+06ED 	ۭ 	Arabic Small Low Meem
U+06EE 	ۮ 	Arabic Letter Dal With Inverted V
U+06EF 	ۯ 	Arabic Letter Reh With Inverted V
U+06F0 	۰ 	Extended Arabic-Indic Digit Zero
U+06F1 	۱ 	Extended Arabic-Indic Digit One
U+06F2 	۲ 	Extended Arabic-Indic Digit Two
U+06F3 	۳ 	Extended Arabic-Indic Digit Three
U+06F4 	۴ 	Extended Arabic-Indic Digit Four
U+06F5 	۵ 	Extended Arabic-Indic Digit Five
U+06F6 	۶ 	Extended Arabic-Indic Digit Six
U+06F7 	۷ 	Extended Arabic-Indic Digit Seven
U+06F8 	۸ 	Extended Arabic-Indic Digit Eight
U+06F9 	۹ 	Extended Arabic-Indic Digit Nine
U+06FA 	ۺ 	Arabic Letter Sheen With Dot Below
U+06FB 	ۻ 	Arabic Letter Dad With Dot Below
U+06FC 	ۼ 	Arabic Letter Ghain With Dot Below
U+06FD 	۽ 	Arabic Sign Sindhi Ampersand
U+06FE 	۾ 	Arabic Sign Sindhi Postposition Men
U+06FF 	ۿ 	Arabic Letter Heh With Inverted V 
