# language_name: Urdu
# code: urdu
# iso639: urd
# script: Perso-Arabic (Nastaliq)
# speakers: 230 million
construct_id,native_keyword,romenagri,note
KW_MOTOR,محرك,muharrika,borrowed<arabic
KW_SERVO,محركخادم,muharrikakhaadima,borrowed<arabic
KW_JOINT,مفصل,mafsila,borrowed<arabic
KW_POSE,وضعية,vadaiyah,borrowed<arabic
KW_TRAJECTORY,مسار,masaara,borrowed<arabic
KW_FEEDBACK,تغذيةراجعة,taghziyahraajiah,borrowed<arabic
KW_PID,متحكم,mutahakkima,borrowed<arabic
KW_DEADLINE,موعدنهائي,mauidnihaaii,borrowed<arabic
KW_PERIODIC,دوري,dauriiy,borrowed<arabic
KW_PRIORITY,أولوية,avlaviyah,borrowed<arabic
KW_ACTUATE,شغل,shaghghila,borrowed<arabic
KW_PERCEIVE,أدرك,adrika,borrowed<arabic
KW_PLAN,خطط,khattata,borrowed<arabic
KW_STREAM,تدفق,tadaffuqa,borrowed<arabic
KW_PIPE,أنبوب,anbuuba,borrowed<arabic
KW_MAP,خريطة,khariitah,borrowed<arabic
KW_FILTER,رشح,rashshiha,borrowed<arabic
KW_REDUCE,اختزل,ikhtazila,borrowed<arabic
KW_FOLD,طي,tayya,borrowed<arabic
KW_OBSERVE,راقب,raaqiba,borrowed<arabic
KW_EMIT,أصدر,asdira,borrowed<arabic
KW_SUBSCRIBE,اشترك,ishtaraka,borrowed<arabic
KW_DEBOUNCE,إزالةارتداد,izaalahirtidaada,borrowed<arabic
KW_OWN,امتلك,imtalika,borrowed<arabic
KW_BORROW,استعر,istaaira,borrowed<arabic
KW_MOVE,انقل,inqula,borrowed<arabic
KW_MUT,متغير,mutaghayyira,borrowed<arabic
KW_LIFETIME,عمر,umra,borrowed<arabic
KW_ARENA,ساحة,saahah,borrowed<arabic
KW_GC,جمعالمهملات,jamealmuhmalaata,borrowed<arabic
KW_PIN_MEM,تثبيتذاكرة,tasbiitzaakirah,borrowed<arabic
KW_REQUIRES,يتطلب,yatatallaba,borrowed<arabic
KW_ENSURES,يضمن,yadmana,borrowed<arabic
KW_INVARIANT,ثابت,saabita,borrowed<arabic
KW_ASSERT,أكد,akkida,borrowed<arabic
KW_ASSUME,افترض,iftarida,borrowed<arabic
KW_PROVE,أثبت,asbita,borrowed<arabic
KW_REFINES,يحسن,yuhassina,borrowed<arabic
KW_MODEL_CHECK,فحصالنموذج,fahsalnamuuzaja,borrowed<arabic
KW_NODE,عقدة,uqdah,borrowed<arabic
KW_REPLICA,نسخة,nuskhah,borrowed<arabic
KW_CONSENSUS,إجماع,ijmaae,borrowed<arabic
KW_SHARD,شظية,shaziyah,borrowed<arabic
KW_GOSSIP,إشاعة,ishaaah,borrowed<arabic
KW_LEADER,قائد,qaaida,borrowed<arabic
KW_RPC,استدعاءبعيد,istidaaabaiida,borrowed<arabic
KW_ACTOR,فاعل,faaila,borrowed<arabic
KW_MESSAGE,رسالة,risaalah,borrowed<arabic
