# language_name: Arabic
# code: arabic
# iso639: ara
# script: Arabic
# speakers: 400 million
construct_id,native_keyword,romenagri,note
KW_ALWAYS,دائما,daaiman,always
KW_ASSIGN,عين,ayyina,assign
KW_BEGIN,ابدأ,ibdaa,begin
KW_END,انته,intahi,end
KW_TRY,حاول,haavila,try
KW_CATCH,امسك,imsika,catch
KW_FINALLY,أخيرا,akhiiran,finally
KW_THROW,ارم,irmi,throw
KW_RAISE,ارفع,irfae,raise
KW_EXCEPT,استثناء,istisnaaa,except
KW_IMPORT,استورد,istavrida,import
KW_EXPORT,صدر,saddira,export
KW_PACKAGE,حزمة,huzmah,package
KW_NAMESPACE,نطاق,nitaaqa,namespace
KW_USE,استخدم,istakhdima,use
KW_INCLUDE,ضمن,dammina,include
KW_FROM,من,min,from
KW_AS,كـ,ka,as
KW_KERNEL,نواة,navaah,gpu kernel
KW_DEVICE,جهاز,jahaaza,device
KW_HOST,مضيف,mudiifa,host
KW_GLOBAL,عام,aamma,global
KW_SHARED,مشترك,mushtaraka,shared
KW_THREADIDX,معرفخيط,muarrifkhayta,thread index
KW_BLOCKIDX,معرفكتلة,muarrifkutlah,block index
KW_GRID,شبكة,shabakah,grid
KW_BARRIER,حاجز,haajiza,barrier
KW_ATOMIC,ذري,zarrii,atomic
KW_WARP,التواء,iltivaaa,warp
KW_TENSOR,موتر,mautira,tensor
KW_MATRIX,مصفوفة,masfuufah,matrix
KW_VECTOR,متجه,muttajiha,vector
KW_GRAD,تدرج,tadarruja,gradient
KW_BACKPROP,انتشارخلفي,intishaarakhalfii,backprop
KW_FORWARD,أمامي,amaamii,forward
KW_LAYER,طبقة,tabaqah,layer
KW_MODEL,نموذج,namuuzaja,model
KW_TRAIN,تدريب,tadriiba,train
KW_INFER,استدلال,istidlaala,infer
KW_LOSS,خسارة,khasaarah,loss
KW_OPTIMIZE,تحسين,tahsiina,optimize
KW_ACTIVATION,تنشيط,tanshiita,activation
KW_WEIGHT,وزن,vazna,weight
KW_BIAS,انحياز,inhiyaaza,bias
KW_EPOCH,حقبة,huqbah,epoch
KW_BATCH,دفعة,dufaah,batch
KW_DATASET,مجموعةبيانات,majmuuabayaanaata,dataset
KW_EMBED,تضمين,tadmiina,embed
KW_ATTENTION,انتباه,intibaaha,attention
KW_PIN,دبوس,dabuusa,pin
KW_READ,اقرأ,iqraa,read
KW_WRITE,اكتب,uktuba,write
KW_ANALOG,تماثلي,tamaasulii,analog
KW_DIGITAL,رقمي,raqamii,digital
KW_PWM,تعديلعرض,taediilaarda,pwm
KW_INTERRUPT,مقاطعة,muqaataah,interrupt
KW_TIMER,مؤقت,muaqqita,timer
KW_SENSOR,مستشعر,mustashaira,sensor
KW_ACTUATOR,مشغل,mushaghghila,actuator
KW_BUS,ناقل,naaqila,bus
KW_PROTOCOL,بروتوكول,bruutuukuula,protocol
KW_SLEEP,نوم,nauma,sleep
KW_WAKE,استيقظ,istayqiza,wake
KW_MOTOR,محرك,muharrika,motor
KW_SERVO,محركخادم,muharrikakhaadima,servo
KW_JOINT,مفصل,mafsila,joint
KW_POSE,وضعية,vadaiyah,pose
KW_TRAJECTORY,مسار,masaara,trajectory
KW_FEEDBACK,تغذيةراجعة,taghziyahraajiah,feedback
KW_PID,متحكم,mutahakkima,pid
KW_DEADLINE,موعدنهائي,mauidnihaaii,deadline
KW_PERIODIC,دوري,dauriiy,periodic
KW_PRIORITY,أولوية,avlaviyah,priority
KW_ACTUATE,شغل,shaghghila,actuate
KW_PERCEIVE,أدرك,adrika,perceive
KW_PLAN,خطط,khattata,plan
KW_STREAM,تدفق,tadaffuqa,stream
KW_PIPE,أنبوب,anbuuba,pipe
KW_MAP,خريطة,khariitah,map
KW_FILTER,رشح,rashshiha,filter
KW_REDUCE,اختزل,ikhtazila,reduce
KW_FOLD,طي,tayya,fold
KW_OBSERVE,راقب,raaqiba,observe
KW_EMIT,أصدر,asdira,emit
KW_SUBSCRIBE,اشترك,ishtaraka,subscribe
KW_DEBOUNCE,إزالةارتداد,izaalahirtidaada,debounce
KW_OWN,امتلك,imtalika,own
KW_BORROW,استعر,istaaira,borrow
KW_MOVE,انقل,inqula,move
KW_MUT,متغير,mutaghayyira,mut
KW_LIFETIME,عمر,umra,lifetime
KW_ARENA,ساحة,saahah,arena
KW_GC,جمعالمهملات,jamealmuhmalaata,gc
KW_PIN_MEM,تثبيتذاكرة,tasbiitzaakirah,pin memory
KW_REQUIRES,يتطلب,yatatallaba,requires
KW_ENSURES,يضمن,yadmana,ensures
KW_INVARIANT,ثابت,saabita,invariant
KW_ASSERT,أكد,akkida,assert
KW_ASSUME,افترض,iftarida,assume
KW_PROVE,أثبت,asbita,prove
KW_REFINES,يحسن,yuhassina,refines
KW_MODEL_CHECK,فحصالنموذج,fahsalnamuuzaja,model check
KW_NODE,عقدة,uqdah,node
KW_REPLICA,نسخة,nuskhah,replica
KW_CONSENSUS,إجماع,ijmaae,consensus
KW_SHARD,شظية,shaziyah,shard
KW_GOSSIP,إشاعة,ishaaah,gossip
KW_LEADER,قائد,qaaida,leader
KW_RPC,استدعاءبعيد,istidaaabaiida,rpc
KW_ACTOR,فاعل,faaila,actor
KW_MESSAGE,رسالة,risaalah,message
