# Vesoha Hindi · all frontends | (C) 1993-2026 Abhishek Choudhary GPL-3.0-or-later
frontend	native	romenagri	host
prolog	है	hai	is
prolog	सत्य	satya	true
prolog	असफल	asaphala	fail
prolog	नियम	niyama	:-
python	परिभाषा	paribhaasaa	def
python	लौटाओ	lautaaau	return
python	यदि	yadi	if
python	अन्यथा	anyathaa	else
python	हेतु	heetu	for
python	जबतक	jabataka	while
python	सत्य	satya	True
python	असत्य	asatya	False
python	शून्य	shuunya	None
r	कृत्य	kaृtya	function
r	यदि	yadi	if
r	अन्यथा	anyathaa	else
r	लिखो	likhao	print
r	सत्य	satya	TRUE
r	असत्य	asatya	FALSE
ruby	परिभाषा	paribhaasaa	def
ruby	समाप्त	samaapta	end
ruby	लिखो	likhao	puts
ruby	लिखो	likhao	print
ruby	यदि	yadi	if
ruby	अन्यथा	anyathaa	else
rust	कृत्य	kaृtya	fn
rust	मान	maana	let
rust	परिवर्त्य	parivartya	mut
rust	यदि	yadi	if
rust	लौटाओ	lautaaau	return
rust	सार्वजनिक	saarvajanika	pub
rust	संरचना	sa_nracanaa	struct
scala	परिभाषा	paribhaasaa	def
scala	मान	maana	val
scala	वस्तु	vastu	object
scala	वर्ग	varga	class
scala	पङ्क्तिलिखो	panga_ktilikhao	println
scheme	परिभाषा	paribhaasaa	define
scheme	लम्बक	lambaka	lambda
scheme	यदि	yadi	if
scheme	उद्धरण	उddharana	quote
scheme	मान	maana	let
smalltalk	मूल्यांकन	muulyaankana	Eval
smalltalk	सत्य	satya	true
smalltalk	असत्य	asatya	false
smalltalk	शून्य	shuunya	nil
smalltalk	स्व	sva	self
smalltalk	अधि	adhi	super
sql	चयन	cayana	SELECT
sql	से	sae	FROM
sql	जहाँ	jahaan	WHERE
sql	डालो	daalao	INSERT
sql	में	maen	INTO
sql	मान	maana	VALUES
sql	रचो	racao	CREATE
sql	सारणी	saaranii	TABLE
swift	कृत्य	kaृtya	func
swift	मान	maana	let
swift	चर	cara	var
swift	लिखो	likhao	print
swift	लौटाओ	lautaaau	return
sysml	संकुल	sankula	package
sysml	भाग	bhaaga	part
sysml	परिभाषा	paribhaasaa	def
sysml	विशेषता	vishaesataa	attribute
sysml	बाधा	baadhaa	constraint
sysml	आवश्यकता	avashyakataa	requirement
typescript	गणना	gananaa	enum
typescript	अन्तरफलक	antaraphalaka	interface
typescript	प्रकार	prakaara	type
typescript	जैसा	jaisaa	as
typescript	लागू	laaguu	implements
yacc	%प्रतीक	%pratiika	%token
yacc	%आरम्भ	%arambha	%start
yacc	%%	%%	%%
yacc	yyविश्लेषण	yyvishlaesana	yyparse
yacc	yyलेख	yylaekha	yylex
zig	सार्वजनिक	saarvajanika	pub
zig	कृत्य	kaृtya	fn
zig	लौटाओ	lautaaau	return
zig	अचर	acara	const
zig	चर	cara	var
zig	यदि	yadi	if
