# Arabic Unicode inventory. Language-axis maps remain urdu_map / lang_*.csv (lossy).
# Copyright (C) 1993-2026 Abhishek Choudhary. GPL-3.0-or-later.
# Direct Unicode inventory. NOT a Devanagari hub. NOT invented keywords.
cp	ch	unicode_name
U+FB6F	ﭯ	ARABIC LETTER PEHEH FINAL FORM
U+FB70	ﭰ	ARABIC LETTER PEHEH INITIAL FORM
U+FB71	ﭱ	ARABIC LETTER PEHEH MEDIAL FORM
U+FB72	ﭲ	ARABIC LETTER DYEH ISOLATED FORM
U+FB73	ﭳ	ARABIC LETTER DYEH FINAL FORM
U+FB74	ﭴ	ARABIC LETTER DYEH INITIAL FORM
U+FB75	ﭵ	ARABIC LETTER DYEH MEDIAL FORM
U+FB76	ﭶ	ARABIC LETTER NYEH ISOLATED FORM
U+FB77	ﭷ	ARABIC LETTER NYEH FINAL FORM
U+FB78	ﭸ	ARABIC LETTER NYEH INITIAL FORM
U+FB79	ﭹ	ARABIC LETTER NYEH MEDIAL FORM
U+FB7A	ﭺ	ARABIC LETTER TCHEH ISOLATED FORM
U+FB7B	ﭻ	ARABIC LETTER TCHEH FINAL FORM
U+FB7C	ﭼ	ARABIC LETTER TCHEH INITIAL FORM
U+FB7D	ﭽ	ARABIC LETTER TCHEH MEDIAL FORM
U+FB7E	ﭾ	ARABIC LETTER TCHEHEH ISOLATED FORM
U+FB7F	ﭿ	ARABIC LETTER TCHEHEH FINAL FORM
U+FB80	ﮀ	ARABIC LETTER TCHEHEH INITIAL FORM
U+FB81	ﮁ	ARABIC LETTER TCHEHEH MEDIAL FORM
U+FB82	ﮂ	ARABIC LETTER DDAHAL ISOLATED FORM
U+FB83	ﮃ	ARABIC LETTER DDAHAL FINAL FORM
U+FB84	ﮄ	ARABIC LETTER DAHAL ISOLATED FORM
U+FB85	ﮅ	ARABIC LETTER DAHAL FINAL FORM
U+FB86	ﮆ	ARABIC LETTER DUL ISOLATED FORM
U+FB87	ﮇ	ARABIC LETTER DUL FINAL FORM
U+FB88	ﮈ	ARABIC LETTER DDAL ISOLATED FORM
U+FB89	ﮉ	ARABIC LETTER DDAL FINAL FORM
U+FB8A	ﮊ	ARABIC LETTER JEH ISOLATED FORM
U+FB8B	ﮋ	ARABIC LETTER JEH FINAL FORM
U+FB8C	ﮌ	ARABIC LETTER RREH ISOLATED FORM
U+FB8D	ﮍ	ARABIC LETTER RREH FINAL FORM
U+FB8E	ﮎ	ARABIC LETTER KEHEH ISOLATED FORM
U+FB8F	ﮏ	ARABIC LETTER KEHEH FINAL FORM
U+FB90	ﮐ	ARABIC LETTER KEHEH INITIAL FORM
U+FB91	ﮑ	ARABIC LETTER KEHEH MEDIAL FORM
U+FB92	ﮒ	ARABIC LETTER GAF ISOLATED FORM
U+FB93	ﮓ	ARABIC LETTER GAF FINAL FORM
U+FB94	ﮔ	ARABIC LETTER GAF INITIAL FORM
U+FB95	ﮕ	ARABIC LETTER GAF MEDIAL FORM
U+FB96	ﮖ	ARABIC LETTER GUEH ISOLATED FORM
U+FB97	ﮗ	ARABIC LETTER GUEH FINAL FORM
U+FB98	ﮘ	ARABIC LETTER GUEH INITIAL FORM
U+FB99	ﮙ	ARABIC LETTER GUEH MEDIAL FORM
U+FB9A	ﮚ	ARABIC LETTER NGOEH ISOLATED FORM
U+FB9B	ﮛ	ARABIC LETTER NGOEH FINAL FORM
U+FB9C	ﮜ	ARABIC LETTER NGOEH INITIAL FORM
U+FB9D	ﮝ	ARABIC LETTER NGOEH MEDIAL FORM
U+FB9E	ﮞ	ARABIC LETTER NOON GHUNNA ISOLATED FORM
U+FB9F	ﮟ	ARABIC LETTER NOON GHUNNA FINAL FORM
U+FBA0	ﮠ	ARABIC LETTER RNOON ISOLATED FORM
U+FBA1	ﮡ	ARABIC LETTER RNOON FINAL FORM
U+FBA2	ﮢ	ARABIC LETTER RNOON INITIAL FORM
U+FBA3	ﮣ	ARABIC LETTER RNOON MEDIAL FORM
U+FBA4	ﮤ	ARABIC LETTER HEH WITH YEH ABOVE ISOLATED FORM
U+FBA5	ﮥ	ARABIC LETTER HEH WITH YEH ABOVE FINAL FORM
U+FBA6	ﮦ	ARABIC LETTER HEH GOAL ISOLATED FORM
U+FBA7	ﮧ	ARABIC LETTER HEH GOAL FINAL FORM
U+FBA8	ﮨ	ARABIC LETTER HEH GOAL INITIAL FORM
U+FBA9	ﮩ	ARABIC LETTER HEH GOAL MEDIAL FORM
U+FBAA	ﮪ	ARABIC LETTER HEH DOACHASHMEE ISOLATED FORM
U+FBAB	ﮫ	ARABIC LETTER HEH DOACHASHMEE FINAL FORM
U+FBAC	ﮬ	ARABIC LETTER HEH DOACHASHMEE INITIAL FORM
U+FBAD	ﮭ	ARABIC LETTER HEH DOACHASHMEE MEDIAL FORM
U+FBAE	ﮮ	ARABIC LETTER YEH BARREE ISOLATED FORM
U+FBAF	ﮯ	ARABIC LETTER YEH BARREE FINAL FORM
U+FBB0	ﮰ	ARABIC LETTER YEH BARREE WITH HAMZA ABOVE ISOLATED FORM
U+FBB1	ﮱ	ARABIC LETTER YEH BARREE WITH HAMZA ABOVE FINAL FORM
U+FBB2	﮲	ARABIC SYMBOL DOT ABOVE
U+FBB3	﮳	ARABIC SYMBOL DOT BELOW
U+FBB4	﮴	ARABIC SYMBOL TWO DOTS ABOVE
U+FBB5	﮵	ARABIC SYMBOL TWO DOTS BELOW
U+FBB6	﮶	ARABIC SYMBOL THREE DOTS ABOVE
U+FBB7	﮷	ARABIC SYMBOL THREE DOTS BELOW
U+FBB8	﮸	ARABIC SYMBOL THREE DOTS POINTING DOWNWARDS ABOVE
U+FBB9	﮹	ARABIC SYMBOL THREE DOTS POINTING DOWNWARDS BELOW
U+FBBA	﮺	ARABIC SYMBOL FOUR DOTS ABOVE
U+FBBB	﮻	ARABIC SYMBOL FOUR DOTS BELOW
U+FBBC	﮼	ARABIC SYMBOL DOUBLE VERTICAL BAR BELOW
U+FBBD	﮽	ARABIC SYMBOL TWO DOTS VERTICALLY ABOVE
U+FBBE	﮾	ARABIC SYMBOL TWO DOTS VERTICALLY BELOW
U+FBBF	﮿	ARABIC SYMBOL RING
U+FBC0	﯀	ARABIC SYMBOL SMALL TAH ABOVE
U+FBC1	﯁	ARABIC SYMBOL SMALL TAH BELOW
U+FBD3	ﯓ	ARABIC LETTER NG ISOLATED FORM
U+FBD4	ﯔ	ARABIC LETTER NG FINAL FORM
U+FBD5	ﯕ	ARABIC LETTER NG INITIAL FORM
U+FBD6	ﯖ	ARABIC LETTER NG MEDIAL FORM
U+FBD7	ﯗ	ARABIC LETTER U ISOLATED FORM
U+FBD8	ﯘ	ARABIC LETTER U FINAL FORM
U+FBD9	ﯙ	ARABIC LETTER OE ISOLATED FORM
U+FBDA	ﯚ	ARABIC LETTER OE FINAL FORM
U+FBDB	ﯛ	ARABIC LETTER YU ISOLATED FORM
U+FBDC	ﯜ	ARABIC LETTER YU FINAL FORM
U+FBDD	ﯝ	ARABIC LETTER U WITH HAMZA ABOVE ISOLATED FORM
U+FBDE	ﯞ	ARABIC LETTER VE ISOLATED FORM
U+FBDF	ﯟ	ARABIC LETTER VE FINAL FORM
U+FBE0	ﯠ	ARABIC LETTER KIRGHIZ OE ISOLATED FORM
U+FBE1	ﯡ	ARABIC LETTER KIRGHIZ OE FINAL FORM
U+FBE2	ﯢ	ARABIC LETTER KIRGHIZ YU ISOLATED FORM
U+FBE3	ﯣ	ARABIC LETTER KIRGHIZ YU FINAL FORM
U+FBE4	ﯤ	ARABIC LETTER E ISOLATED FORM
U+FBE5	ﯥ	ARABIC LETTER E FINAL FORM
U+FBE6	ﯦ	ARABIC LETTER E INITIAL FORM
U+FBE7	ﯧ	ARABIC LETTER E MEDIAL FORM
U+FBE8	ﯨ	ARABIC LETTER UIGHUR KAZAKH KIRGHIZ ALEF MAKSURA INITIAL FORM
U+FBE9	ﯩ	ARABIC LETTER UIGHUR KAZAKH KIRGHIZ ALEF MAKSURA MEDIAL FORM
U+FBEA	ﯪ	ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH ALEF ISOLATED FORM
U+FBEB	ﯫ	ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH ALEF FINAL FORM
U+FBEC	ﯬ	ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH AE ISOLATED FORM
U+FBED	ﯭ	ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH AE FINAL FORM
U+FBEE	ﯮ	ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH WAW ISOLATED FORM
U+FBEF	ﯯ	ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH WAW FINAL FORM
U+FBF0	ﯰ	ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH U ISOLATED FORM
U+FBF1	ﯱ	ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH U FINAL FORM
U+FBF2	ﯲ	ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH OE ISOLATED FORM
U+FBF3	ﯳ	ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH OE FINAL FORM
U+FBF4	ﯴ	ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH YU ISOLATED FORM
U+FBF5	ﯵ	ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH YU FINAL FORM
U+FBF6	ﯶ	ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH E ISOLATED FORM
U+FBF7	ﯷ	ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH E FINAL FORM
U+FBF8	ﯸ	ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH E INITIAL FORM
U+FBF9	ﯹ	ARABIC LIGATURE UIGHUR KIRGHIZ YEH WITH HAMZA ABOVE WITH ALEF MAKSURA ISOLATED FORM
U+FBFA	ﯺ	ARABIC LIGATURE UIGHUR KIRGHIZ YEH WITH HAMZA ABOVE WITH ALEF MAKSURA FINAL FORM
U+FBFB	ﯻ	ARABIC LIGATURE UIGHUR KIRGHIZ YEH WITH HAMZA ABOVE WITH ALEF MAKSURA INITIAL FORM
U+FBFC	ﯼ	ARABIC LETTER FARSI YEH ISOLATED FORM
U+FBFD	ﯽ	ARABIC LETTER FARSI YEH FINAL FORM
U+FBFE	ﯾ	ARABIC LETTER FARSI YEH INITIAL FORM
U+FBFF	ﯿ	ARABIC LETTER FARSI YEH MEDIAL FORM
U+FC00	ﰀ	ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH JEEM ISOLATED FORM
U+FC01	ﰁ	ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH HAH ISOLATED FORM
U+FC02	ﰂ	ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH MEEM ISOLATED FORM
U+FC03	ﰃ	ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH ALEF MAKSURA ISOLATED FORM
U+FC04	ﰄ	ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH YEH ISOLATED FORM
U+FC05	ﰅ	ARABIC LIGATURE BEH WITH JEEM ISOLATED FORM
U+FC06	ﰆ	ARABIC LIGATURE BEH WITH HAH ISOLATED FORM
U+FC07	ﰇ	ARABIC LIGATURE BEH WITH KHAH ISOLATED FORM
U+FC08	ﰈ	ARABIC LIGATURE BEH WITH MEEM ISOLATED FORM
U+FC09	ﰉ	ARABIC LIGATURE BEH WITH ALEF MAKSURA ISOLATED FORM
U+FC0A	ﰊ	ARABIC LIGATURE BEH WITH YEH ISOLATED FORM
U+FC0B	ﰋ	ARABIC LIGATURE TEH WITH JEEM ISOLATED FORM
U+FC0C	ﰌ	ARABIC LIGATURE TEH WITH HAH ISOLATED FORM
U+FC0D	ﰍ	ARABIC LIGATURE TEH WITH KHAH ISOLATED FORM
U+FC0E	ﰎ	ARABIC LIGATURE TEH WITH MEEM ISOLATED FORM
U+FC0F	ﰏ	ARABIC LIGATURE TEH WITH ALEF MAKSURA ISOLATED FORM
U+FC10	ﰐ	ARABIC LIGATURE TEH WITH YEH ISOLATED FORM
U+FC11	ﰑ	ARABIC LIGATURE THEH WITH JEEM ISOLATED FORM
U+FC12	ﰒ	ARABIC LIGATURE THEH WITH MEEM ISOLATED FORM
U+FC13	ﰓ	ARABIC LIGATURE THEH WITH ALEF MAKSURA ISOLATED FORM
U+FC14	ﰔ	ARABIC LIGATURE THEH WITH YEH ISOLATED FORM
U+FC15	ﰕ	ARABIC LIGATURE JEEM WITH HAH ISOLATED FORM
U+FC16	ﰖ	ARABIC LIGATURE JEEM WITH MEEM ISOLATED FORM
U+FC17	ﰗ	ARABIC LIGATURE HAH WITH JEEM ISOLATED FORM
U+FC18	ﰘ	ARABIC LIGATURE HAH WITH MEEM ISOLATED FORM
U+FC19	ﰙ	ARABIC LIGATURE KHAH WITH JEEM ISOLATED FORM
U+FC1A	ﰚ	ARABIC LIGATURE KHAH WITH HAH ISOLATED FORM
U+FC1B	ﰛ	ARABIC LIGATURE KHAH WITH MEEM ISOLATED FORM
U+FC1C	ﰜ	ARABIC LIGATURE SEEN WITH JEEM ISOLATED FORM
U+FC1D	ﰝ	ARABIC LIGATURE SEEN WITH HAH ISOLATED FORM
U+FC1E	ﰞ	ARABIC LIGATURE SEEN WITH KHAH ISOLATED FORM
U+FC1F	ﰟ	ARABIC LIGATURE SEEN WITH MEEM ISOLATED FORM
U+FC20	ﰠ	ARABIC LIGATURE SAD WITH HAH ISOLATED FORM
U+FC21	ﰡ	ARABIC LIGATURE SAD WITH MEEM ISOLATED FORM
U+FC22	ﰢ	ARABIC LIGATURE DAD WITH JEEM ISOLATED FORM
U+FC23	ﰣ	ARABIC LIGATURE DAD WITH HAH ISOLATED FORM
U+FC24	ﰤ	ARABIC LIGATURE DAD WITH KHAH ISOLATED FORM
U+FC25	ﰥ	ARABIC LIGATURE DAD WITH MEEM ISOLATED FORM
U+FC26	ﰦ	ARABIC LIGATURE TAH WITH HAH ISOLATED FORM
U+FC27	ﰧ	ARABIC LIGATURE TAH WITH MEEM ISOLATED FORM
U+FC28	ﰨ	ARABIC LIGATURE ZAH WITH MEEM ISOLATED FORM
U+FC29	ﰩ	ARABIC LIGATURE AIN WITH JEEM ISOLATED FORM
U+FC2A	ﰪ	ARABIC LIGATURE AIN WITH MEEM ISOLATED FORM
U+FC2B	ﰫ	ARABIC LIGATURE GHAIN WITH JEEM ISOLATED FORM
U+FC2C	ﰬ	ARABIC LIGATURE GHAIN WITH MEEM ISOLATED FORM
U+FC2D	ﰭ	ARABIC LIGATURE FEH WITH JEEM ISOLATED FORM
U+FC2E	ﰮ	ARABIC LIGATURE FEH WITH HAH ISOLATED FORM
U+FC2F	ﰯ	ARABIC LIGATURE FEH WITH KHAH ISOLATED FORM
U+FC30	ﰰ	ARABIC LIGATURE FEH WITH MEEM ISOLATED FORM
U+FC31	ﰱ	ARABIC LIGATURE FEH WITH ALEF MAKSURA ISOLATED FORM
U+FC32	ﰲ	ARABIC LIGATURE FEH WITH YEH ISOLATED FORM
U+FC33	ﰳ	ARABIC LIGATURE QAF WITH HAH ISOLATED FORM
U+FC34	ﰴ	ARABIC LIGATURE QAF WITH MEEM ISOLATED FORM
U+FC35	ﰵ	ARABIC LIGATURE QAF WITH ALEF MAKSURA ISOLATED FORM
U+FC36	ﰶ	ARABIC LIGATURE QAF WITH YEH ISOLATED FORM
U+FC37	ﰷ	ARABIC LIGATURE KAF WITH ALEF ISOLATED FORM
U+FC38	ﰸ	ARABIC LIGATURE KAF WITH JEEM ISOLATED FORM
U+FC39	ﰹ	ARABIC LIGATURE KAF WITH HAH ISOLATED FORM
U+FC3A	ﰺ	ARABIC LIGATURE KAF WITH KHAH ISOLATED FORM
U+FC3B	ﰻ	ARABIC LIGATURE KAF WITH LAM ISOLATED FORM
U+FC3C	ﰼ	ARABIC LIGATURE KAF WITH MEEM ISOLATED FORM
U+FC3D	ﰽ	ARABIC LIGATURE KAF WITH ALEF MAKSURA ISOLATED FORM
U+FC3E	ﰾ	ARABIC LIGATURE KAF WITH YEH ISOLATED FORM
U+FC3F	ﰿ	ARABIC LIGATURE LAM WITH JEEM ISOLATED FORM
U+FC40	ﱀ	ARABIC LIGATURE LAM WITH HAH ISOLATED FORM
U+FC41	ﱁ	ARABIC LIGATURE LAM WITH KHAH ISOLATED FORM
U+FC42	ﱂ	ARABIC LIGATURE LAM WITH MEEM ISOLATED FORM
U+FC43	ﱃ	ARABIC LIGATURE LAM WITH ALEF MAKSURA ISOLATED FORM
U+FC44	ﱄ	ARABIC LIGATURE LAM WITH YEH ISOLATED FORM
U+FC45	ﱅ	ARABIC LIGATURE MEEM WITH JEEM ISOLATED FORM
U+FC46	ﱆ	ARABIC LIGATURE MEEM WITH HAH ISOLATED FORM
U+FC47	ﱇ	ARABIC LIGATURE MEEM WITH KHAH ISOLATED FORM
U+FC48	ﱈ	ARABIC LIGATURE MEEM WITH MEEM ISOLATED FORM
U+FC49	ﱉ	ARABIC LIGATURE MEEM WITH ALEF MAKSURA ISOLATED FORM
U+FC4A	ﱊ	ARABIC LIGATURE MEEM WITH YEH ISOLATED FORM
U+FC4B	ﱋ	ARABIC LIGATURE NOON WITH JEEM ISOLATED FORM
U+FC4C	ﱌ	ARABIC LIGATURE NOON WITH HAH ISOLATED FORM
U+FC4D	ﱍ	ARABIC LIGATURE NOON WITH KHAH ISOLATED FORM
U+FC4E	ﱎ	ARABIC LIGATURE NOON WITH MEEM ISOLATED FORM
U+FC4F	ﱏ	ARABIC LIGATURE NOON WITH ALEF MAKSURA ISOLATED FORM
U+FC50	ﱐ	ARABIC LIGATURE NOON WITH YEH ISOLATED FORM
U+FC51	ﱑ	ARABIC LIGATURE HEH WITH JEEM ISOLATED FORM
U+FC52	ﱒ	ARABIC LIGATURE HEH WITH MEEM ISOLATED FORM
U+FC53	ﱓ	ARABIC LIGATURE HEH WITH ALEF MAKSURA ISOLATED FORM
U+FC54	ﱔ	ARABIC LIGATURE HEH WITH YEH ISOLATED FORM
U+FC55	ﱕ	ARABIC LIGATURE YEH WITH JEEM ISOLATED FORM
U+FC56	ﱖ	ARABIC LIGATURE YEH WITH HAH ISOLATED FORM
U+FC57	ﱗ	ARABIC LIGATURE YEH WITH KHAH ISOLATED FORM
U+FC58	ﱘ	ARABIC LIGATURE YEH WITH MEEM ISOLATED FORM
U+FC59	ﱙ	ARABIC LIGATURE YEH WITH ALEF MAKSURA ISOLATED FORM
U+FC5A	ﱚ	ARABIC LIGATURE YEH WITH YEH ISOLATED FORM
U+FC5B	ﱛ	ARABIC LIGATURE THAL WITH SUPERSCRIPT ALEF ISOLATED FORM
U+FC5C	ﱜ	ARABIC LIGATURE REH WITH SUPERSCRIPT ALEF ISOLATED FORM
U+FC5D	ﱝ	ARABIC LIGATURE ALEF MAKSURA WITH SUPERSCRIPT ALEF ISOLATED FORM
U+FC5E	ﱞ	ARABIC LIGATURE SHADDA WITH DAMMATAN ISOLATED FORM
U+FC5F	ﱟ	ARABIC LIGATURE SHADDA WITH KASRATAN ISOLATED FORM
U+FC60	ﱠ	ARABIC LIGATURE SHADDA WITH FATHA ISOLATED FORM
U+FC61	ﱡ	ARABIC LIGATURE SHADDA WITH DAMMA ISOLATED FORM
U+FC62	ﱢ	ARABIC LIGATURE SHADDA WITH KASRA ISOLATED FORM
U+FC63	ﱣ	ARABIC LIGATURE SHADDA WITH SUPERSCRIPT ALEF ISOLATED FORM
U+FC64	ﱤ	ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH REH FINAL FORM
U+FC65	ﱥ	ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH ZAIN FINAL FORM
U+FC66	ﱦ	ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH MEEM FINAL FORM
U+FC67	ﱧ	ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH NOON FINAL FORM
U+FC68	ﱨ	ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH ALEF MAKSURA FINAL FORM
U+FC69	ﱩ	ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH YEH FINAL FORM
U+FC6A	ﱪ	ARABIC LIGATURE BEH WITH REH FINAL FORM
U+FC6B	ﱫ	ARABIC LIGATURE BEH WITH ZAIN FINAL FORM
U+FC6C	ﱬ	ARABIC LIGATURE BEH WITH MEEM FINAL FORM
U+FC6D	ﱭ	ARABIC LIGATURE BEH WITH NOON FINAL FORM
U+FC6E	ﱮ	ARABIC LIGATURE BEH WITH ALEF MAKSURA FINAL FORM
U+FC6F	ﱯ	ARABIC LIGATURE BEH WITH YEH FINAL FORM
U+FC70	ﱰ	ARABIC LIGATURE TEH WITH REH FINAL FORM
U+FC71	ﱱ	ARABIC LIGATURE TEH WITH ZAIN FINAL FORM
U+FC72	ﱲ	ARABIC LIGATURE TEH WITH MEEM FINAL FORM
U+FC73	ﱳ	ARABIC LIGATURE TEH WITH NOON FINAL FORM
U+FC74	ﱴ	ARABIC LIGATURE TEH WITH ALEF MAKSURA FINAL FORM
U+FC75	ﱵ	ARABIC LIGATURE TEH WITH YEH FINAL FORM
U+FC76	ﱶ	ARABIC LIGATURE THEH WITH REH FINAL FORM
U+FC77	ﱷ	ARABIC LIGATURE THEH WITH ZAIN FINAL FORM
U+FC78	ﱸ	ARABIC LIGATURE THEH WITH MEEM FINAL FORM
U+FC79	ﱹ	ARABIC LIGATURE THEH WITH NOON FINAL FORM
U+FC7A	ﱺ	ARABIC LIGATURE THEH WITH ALEF MAKSURA FINAL FORM
U+FC7B	ﱻ	ARABIC LIGATURE THEH WITH YEH FINAL FORM
U+FC7C	ﱼ	ARABIC LIGATURE FEH WITH ALEF MAKSURA FINAL FORM
U+FC7D	ﱽ	ARABIC LIGATURE FEH WITH YEH FINAL FORM
U+FC7E	ﱾ	ARABIC LIGATURE QAF WITH ALEF MAKSURA FINAL FORM
U+FC7F	ﱿ	ARABIC LIGATURE QAF WITH YEH FINAL FORM
U+FC80	ﲀ	ARABIC LIGATURE KAF WITH ALEF FINAL FORM
U+FC81	ﲁ	ARABIC LIGATURE KAF WITH LAM FINAL FORM
U+FC82	ﲂ	ARABIC LIGATURE KAF WITH MEEM FINAL FORM
U+FC83	ﲃ	ARABIC LIGATURE KAF WITH ALEF MAKSURA FINAL FORM
U+FC84	ﲄ	ARABIC LIGATURE KAF WITH YEH FINAL FORM
U+FC85	ﲅ	ARABIC LIGATURE LAM WITH MEEM FINAL FORM
U+FC86	ﲆ	ARABIC LIGATURE LAM WITH ALEF MAKSURA FINAL FORM
U+FC87	ﲇ	ARABIC LIGATURE LAM WITH YEH FINAL FORM
U+FC88	ﲈ	ARABIC LIGATURE MEEM WITH ALEF FINAL FORM
U+FC89	ﲉ	ARABIC LIGATURE MEEM WITH MEEM FINAL FORM
U+FC8A	ﲊ	ARABIC LIGATURE NOON WITH REH FINAL FORM
U+FC8B	ﲋ	ARABIC LIGATURE NOON WITH ZAIN FINAL FORM
U+FC8C	ﲌ	ARABIC LIGATURE NOON WITH MEEM FINAL FORM
U+FC8D	ﲍ	ARABIC LIGATURE NOON WITH NOON FINAL FORM
U+FC8E	ﲎ	ARABIC LIGATURE NOON WITH ALEF MAKSURA FINAL FORM
U+FC8F	ﲏ	ARABIC LIGATURE NOON WITH YEH FINAL FORM
U+FC90	ﲐ	ARABIC LIGATURE ALEF MAKSURA WITH SUPERSCRIPT ALEF FINAL FORM
U+FC91	ﲑ	ARABIC LIGATURE YEH WITH REH FINAL FORM
U+FC92	ﲒ	ARABIC LIGATURE YEH WITH ZAIN FINAL FORM
U+FC93	ﲓ	ARABIC LIGATURE YEH WITH MEEM FINAL FORM
U+FC94	ﲔ	ARABIC LIGATURE YEH WITH NOON FINAL FORM
U+FC95	ﲕ	ARABIC LIGATURE YEH WITH ALEF MAKSURA FINAL FORM
U+FC96	ﲖ	ARABIC LIGATURE YEH WITH YEH FINAL FORM
U+FC97	ﲗ	ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH JEEM INITIAL FORM
U+FC98	ﲘ	ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH HAH INITIAL FORM
U+FC99	ﲙ	ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH KHAH INITIAL FORM
U+FC9A	ﲚ	ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH MEEM INITIAL FORM
U+FC9B	ﲛ	ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH HEH INITIAL FORM
U+FC9C	ﲜ	ARABIC LIGATURE BEH WITH JEEM INITIAL FORM
U+FC9D	ﲝ	ARABIC LIGATURE BEH WITH HAH INITIAL FORM
U+FC9E	ﲞ	ARABIC LIGATURE BEH WITH KHAH INITIAL FORM
U+FC9F	ﲟ	ARABIC LIGATURE BEH WITH MEEM INITIAL FORM
U+FCA0	ﲠ	ARABIC LIGATURE BEH WITH HEH INITIAL FORM
U+FCA1	ﲡ	ARABIC LIGATURE TEH WITH JEEM INITIAL FORM
U+FCA2	ﲢ	ARABIC LIGATURE TEH WITH HAH INITIAL FORM
U+FCA3	ﲣ	ARABIC LIGATURE TEH WITH KHAH INITIAL FORM
U+FCA4	ﲤ	ARABIC LIGATURE TEH WITH MEEM INITIAL FORM
U+FCA5	ﲥ	ARABIC LIGATURE TEH WITH HEH INITIAL FORM
U+FCA6	ﲦ	ARABIC LIGATURE THEH WITH MEEM INITIAL FORM
U+FCA7	ﲧ	ARABIC LIGATURE JEEM WITH HAH INITIAL FORM
U+FCA8	ﲨ	ARABIC LIGATURE JEEM WITH MEEM INITIAL FORM
U+FCA9	ﲩ	ARABIC LIGATURE HAH WITH JEEM INITIAL FORM
U+FCAA	ﲪ	ARABIC LIGATURE HAH WITH MEEM INITIAL FORM
U+FCAB	ﲫ	ARABIC LIGATURE KHAH WITH JEEM INITIAL FORM
U+FCAC	ﲬ	ARABIC LIGATURE KHAH WITH MEEM INITIAL FORM
U+FCAD	ﲭ	ARABIC LIGATURE SEEN WITH JEEM INITIAL FORM
U+FCAE	ﲮ	ARABIC LIGATURE SEEN WITH HAH INITIAL FORM
U+FCAF	ﲯ	ARABIC LIGATURE SEEN WITH KHAH INITIAL FORM
U+FCB0	ﲰ	ARABIC LIGATURE SEEN WITH MEEM INITIAL FORM
U+FCB1	ﲱ	ARABIC LIGATURE SAD WITH HAH INITIAL FORM
U+FCB2	ﲲ	ARABIC LIGATURE SAD WITH KHAH INITIAL FORM
U+FCB3	ﲳ	ARABIC LIGATURE SAD WITH MEEM INITIAL FORM
U+FCB4	ﲴ	ARABIC LIGATURE DAD WITH JEEM INITIAL FORM
U+FCB5	ﲵ	ARABIC LIGATURE DAD WITH HAH INITIAL FORM
U+FCB6	ﲶ	ARABIC LIGATURE DAD WITH KHAH INITIAL FORM
U+FCB7	ﲷ	ARABIC LIGATURE DAD WITH MEEM INITIAL FORM
U+FCB8	ﲸ	ARABIC LIGATURE TAH WITH HAH INITIAL FORM
U+FCB9	ﲹ	ARABIC LIGATURE ZAH WITH MEEM INITIAL FORM
U+FCBA	ﲺ	ARABIC LIGATURE AIN WITH JEEM INITIAL FORM
U+FCBB	ﲻ	ARABIC LIGATURE AIN WITH MEEM INITIAL FORM
U+FCBC	ﲼ	ARABIC LIGATURE GHAIN WITH JEEM INITIAL FORM
U+FCBD	ﲽ	ARABIC LIGATURE GHAIN WITH MEEM INITIAL FORM
U+FCBE	ﲾ	ARABIC LIGATURE FEH WITH JEEM INITIAL FORM
U+FCBF	ﲿ	ARABIC LIGATURE FEH WITH HAH INITIAL FORM
U+FCC0	ﳀ	ARABIC LIGATURE FEH WITH KHAH INITIAL FORM
U+FCC1	ﳁ	ARABIC LIGATURE FEH WITH MEEM INITIAL FORM
U+FCC2	ﳂ	ARABIC LIGATURE QAF WITH HAH INITIAL FORM
U+FCC3	ﳃ	ARABIC LIGATURE QAF WITH MEEM INITIAL FORM
